,10,20,30,40,50,60,70,80,90
Code,10,20,30,40,Median,60,70,80,90
K02000001,7498,11952,15914,19466,23084,27209,32220,38788,50223
K03000001,7500,11986,15961,19524,23162,27315,32334,38904,50465
K04000001,7468,11958,15944,19530,23178,27385,32429,39143,50879
E92000001,7465,11977,16000,19640,23334,27562,32602,39450,51402
E12000001,7451,11647,15188,18225,21177,24747,28575,34761,42512
E06000005,8153,13553,17991,20380,23369,26977,30808,36137,x
E06000001,x,9758,13199,17065,22300,25141,28519,x,x
E06000002,6064,10550,14669,17086,19830,23210,27925,35144,x
E06000003,7062,9335,11937,15415,18368,22765,26324,32471,x
E06000004,7784,11551,15152,18491,21883,25632,29718,35430,x
E06000047,6903,11804,14832,18012,21189,24280,28895,34892,x
E06000057,5937,9204,12353,15504,18311,21956,26001,31960,x
E11000007,8029,12279,15648,18717,21590,25167,28574,34663,45157
E08000037,x,x,15227,18467,20837,24022,27915,32587,x
E08000021,x,13444,16389,19565,23175,26630,30867,38597,x
E08000022,8197,11985,15662,18479,21294,24300,27917,33256,x
E08000023,6273,10804,13867,16659,19466,21519,24300,x,x
E08000024,x,12389,15655,18646,21670,25471,28322,33954,x
E12000002,7200,11434,15288,18418,21664,25269,30143,36094,45724
E06000008,7935,11079,14964,17073,20367,23612,27350,32029,x
E06000009,8091,11482,13855,15875,18101,20771,25093,28372,x
E06000006,7433,12334,15597,19466,22832,27076,34144,41239,x
E06000007,7084,12152,16480,19402,22977,26599,31567,37501,x
E06000049,x,11438,15917,18835,22291,26184,31492,38396,x
E06000050,6733,10400,14610,17592,20401,24223,29426,36139,45198
E10000006,7040,10614,14466,17754,21495,25579,30729,37817,47437
E07000026,5931,9038,x,x,18200,22160,x,x,x
E07000027,8139,10466,14958,18109,21563,26858,34540,x,x
E07000028,7242,10400,13563,17353,20532,23698,26979,30671,x
E07000029,10598,18256,27103,34854,40895,45360,48770,51455,x
E07000030,5315,8672,11694,14787,17791,21304,25894,x,x
E07000031,6463,x,14099,16528,18996,22207,28274,x,x
E11000001,7337,11891,15586,18882,22134,25553,30337,35866,45888
E08000001,6879,10889,14293,17456,20179,23679,27500,32587,x
E08000002,x,x,15138,18657,21106,24829,29969,33663,x
E08000003,9215,14540,18740,22162,25225,29415,34251,40608,52137
E08000004,5558,9804,12857,15354,17817,21105,24970,30563,x
E08000005,7174,10600,13371,16137,19517,22519,25501,33736,x
E08000006,x,13492,17532,20076,23044,27322,31011,37319,x
E08000007,x,9634,12683,17067,20612,24284,29192,34893,x
E08000008,7396,12207,14849,17028,19359,22708,26158,29505,x
E08000009,x,11371,15876,18906,22456,25967,30673,37824,x
E08000010,6079,9511,13119,16335,19944,22960,26969,31758,x
E10000017,7329,11388,15049,18054,21008,24856,30237,35871,44826
E07000117,7745,11369,14855,17227,19800,22611,25485,35410,x
E07000118,6171,10444,13634,16217,18394,x,x,x,x
E07000119,x,13731,17835,22615,29534,32926,38306,x,x
E07000120,8547,13069,15188,17210,20404,23345,29555,x,x
E07000121,x,x,13062,17079,21039,x,x,x,x
E07000122,6627,10661,15260,18253,20916,24105,27992,x,x
E07000123,x,12250,15571,18418,21744,25402,29741,34633,x
E07000124,x,11019,14531,19255,22780,26204,35140,x,x
E07000125,7086,9544,14074,16202,17408,19456,22878,x,x
E07000126,7401,11888,16480,19093,21525,24271,27692,33594,x
E07000127,x,x,x,18866,x,26750,x,x,x
E07000128,x,8542,11434,15281,18155,19449,23791,x,x
E11000002,7020,11019,15090,18012,21521,25024,29506,35207,44638
E08000011,x,13000,16887,20424,23765,27508,33562,37700,x
E08000012,7856,12751,16228,19851,22990,26610,31711,36969,47201
E08000013,x,10105,13927,16338,20532,23710,26588,x,x
E08000014,x,9051,13186,16505,18786,21939,25884,30806,x
E08000015,6379,8980,12915,15625,19404,23062,28160,33444,x
E12000003,7091,11018,14855,17944,21215,24808,29283,34845,43400
E06000011,x,10803,14000,17028,19966,23161,27238,33862,x
E06000010,7166,10332,13916,16897,20071,24323,28529,34247,x
E06000012,6349,9097,12725,15517,18350,21959,27116,32871,x
E06000013,6865,x,15128,18004,22030,27027,31761,37356,x
E06000014,7019,11958,15420,18240,21670,25045,29880,36288,x
E10000023,x,9292,13218,16781,19851,23184,27346,32539,40923
E07000163,x,x,13928,16055,18688,22994,28021,x,x
E07000164,x,x,x,17992,20842,23552,27546,x,x
E07000165,6461,9955,14040,17344,20513,23444,27358,33100,x
E07000166,x,x,x,x,x,x,x,x,x
E07000167,x,9866,13019,15431,19118,23001,25468,x,x
E07000168,x,8376,10710,15065,17652,20828,25197,29760,x
E07000169,x,9621,14335,17972,21347,26838,31699,x,x
E11000003,7197,10904,14500,17413,20590,24305,28837,34600,42151
E08000016,6981,9737,12951,16652,18955,23102,27254,33963,x
E08000017,7247,11317,14872,17135,20000,23398,27791,34122,x
E08000018,7287,11312,14821,17461,20449,24074,28354,34489,x
E08000019,7206,10848,14548,17947,21424,25024,29847,34895,41990
E11000006,7631,11863,15576,18776,22151,25624,29848,35277,44708
E08000032,x,11619,15252,18117,21345,24875,28606,33892,x
E08000033,x,12645,15458,18726,22117,25013,28783,34811,x
E08000034,x,9598,12550,15505,18504,22000,26016,31313,x
E08000035,8085,13467,17347,20645,24183,28166,32339,38743,48363
E08000036,7988,11610,15340,18251,21038,24091,28527,33765,x
E12000004,7298,11449,14991,18014,21122,24668,29098,34814,44149
E06000015,8455,14163,17570,22891,27717,32096,37911,43214,x
E06000016,x,11258,14889,18188,21367,24572,28341,32009,x
E06000018,9242,13067,16319,19049,22107,25562,29744,35749,x
E06000017,x,x,x,15645,18507,x,x,x,x
E10000007,7200,10943,14359,17601,20927,24306,28553,34126,43291
E07000032,9416,13490,16230,19898,23197,27735,31332,39645,x
E07000033,9244,13016,15335,17612,21050,23075,26485,x,x
E07000034,x,11388,13843,17726,20546,23191,27428,x,x
E07000035,x,9656,14787,16952,19985,24986,30063,x,x
E07000036,x,10131,13994,16984,21348,25350,29542,x,x
E07000037,6752,8769,12761,14980,18063,22399,24571,x,x
E07000038,6302,9905,13230,16688,18439,21215,25559,x,x
E07000039,6282,9712,15066,18271,21525,23665,29308,34981,x
E10000018,6191,10509,14475,18050,20994,24746,29531,34946,43627
E07000129,6084,10599,14972,18658,21991,24627,31887,37128,x
E07000130,x,x,x,15864,19656,24699,x,x,x
E07000131,6754,11751,15971,20230,22703,25688,30785,35117,x
E07000132,x,10675,14221,18300,19672,24292,28703,x,x
E07000133,x,7779,11153,15450,17553,20839,25727,x,x
E07000134,7222,13842,16800,19726,22542,25975,30000,34705,x
E07000135,x,11561,15005,16268,18265,22043,x,x,x
E10000019,6825,10560,14160,16975,19860,22802,26917,31951,x
E07000136,7175,10757,12650,15751,17885,x,x,x,x
E07000137,x,10541,14301,17071,21444,24500,27999,34248,x
E07000138,x,10639,13737,16478,20169,x,x,x,x
E07000139,7503,10747,15442,17801,19397,22423,x,x,x
E07000140,9778,14506,17135,19103,21454,23875,28686,31977,x
E07000141,5412,9288,12773,15094,18353,21071,x,x,x
E07000142,x,7944,11131,15909,20404,x,x,x,x
E10000021,8188,12019,15971,18688,21430,24928,29498,35318,43971
E07000150,8102,10987,15091,18066,20322,25122,29555,x,x
E07000151,9319,13202,16734,18645,21649,25039,30940,x,x
E07000152,x,10023,12956,18167,20756,23758,27942,x,x
E07000153,x,x,13983,17286,20907,25115,30990,x,x
E07000154,9393,12860,16619,19459,22630,25932,30548,35784,x
E07000155,x,x,x,x,x,x,x,x,x
E07000156,8229,12309,15635,17919,20548,23183,25854,30768,x
E10000024,6624,10557,14087,16969,19854,23072,27349,33538,43164
E07000170,10094,14594,17374,19200,21935,25565,29908,36350,x
E07000171,7222,11636,14721,17347,19990,22397,26709,33193,x
E07000172,8211,11752,14276,18327,22116,26505,30175,34739,x
E07000173,5648,8054,10499,14079,17564,21400,25457,x,x
E07000174,5840,8151,11185,13826,15239,17909,20813,25132,x
E07000175,4341,8875,12440,15635,18167,21311,x,x,x
E07000176,x,x,x,17767,22137,25627,29221,x,x
E12000005,7205,11329,15022,18301,21732,25324,29991,35918,45522
E06000019,x,x,12959,16299,18993,21647,24893,29562,x
E06000021,8181,12169,15532,18194,20550,24201,27398,32169,x
E06000020,7949,11746,15768,19274,21760,25502,29949,34777,x
E06000051,5373,8530,11991,14867,18093,21900,25698,31556,x
E10000028,7005,11077,14371,17587,20858,24476,28499,33757,42697
E07000192,7768,12230,15432,18575,20913,23973,26347,30084,x
E07000193,7800,12095,15739,19533,22555,27017,32002,35987,x
E07000194,5535,x,x,17560,20561,24619,x,x,x
E07000195,8040,10824,13766,15926,18266,21614,23973,29403,x
E07000196,5817,9247,12212,15599,19282,23576,27572,x,x
E07000197,6742,12518,15539,18355,22136,26612,30755,36016,x
E07000198,x,x,x,x,x,x,x,x,x
E07000199,x,12721,15303,18655,21149,24004,27154,x,x
E10000031,7925,12726,16266,20134,23169,27969,33000,40289,51293
E07000218,8872,x,16124,19642,22301,26112,x,x,x
E07000219,6068,9698,13587,x,x,x,x,x,x
E07000220,9317,14481,17480,22093,26026,30365,35350,40630,x
E07000221,9147,14198,16974,21159,24672,30801,37182,45988,x
E07000222,7324,11652,16437,20418,23546,28430,33193,41412,x
E11000005,7620,11986,15608,18989,22501,26413,31409,37301,47198
E08000025,8055,12848,16749,20191,23788,27714,32959,38544,47934
E08000026,6789,10746,15401,19542,23394,27960,32340,39401,x
E08000027,7087,10431,14115,16619,19734,23088,26889,32129,x
E08000028,x,12696,15425,18068,20628,23547,28834,33102,x
E08000029,x,12274,16473,21151,25655,31929,37850,45052,x
E08000030,6771,9925,13343,16395,19304,23242,28242,33110,x
E08000031,8503,12987,15507,19048,21524,24766,28673,34799,x
E10000034,x,9475,13066,16011,19585,23001,26879,32484,x
E07000234,x,8083,12916,14881,19443,23249,26783,x,x
E07000235,x,x,x,x,x,x,x,x,x
E07000236,x,x,x,x,x,x,x,x,x
E07000237,x,9718,13516,17442,21535,25405,29145,35366,x
E07000238,x,x,x,16921,20864,23442,27868,x,x
