,Median,Mean,10,20,25,30,40,60,70,75,80,90
Code,Median,Mean,10,20,25,30,40,60,70,75,80,90
K02000001,25886,31646,8628,13756,16338,18349,21960,30350,35753,39093,42810,55798
K03000001,26000,31825,8628,13798,16411,18422,22032,30464,35925,39309,43023,56159
K04000001,26000,32018,8628,13762,16379,18398,22018,30500,35986,39417,43234,56736
E92000001,26172,32324,8628,13778,16424,18454,22152,30709,36214,39743,43683,57443
E12000001,23436,27224,8604,13559,15725,17377,20214,27000,31706,34193,37271,47344
E06000005,23299,27847,8426,12772,14842,16832,19254,27377,32490,34340,x,x
E06000001,21551,24949,x,x,x,x,19042,26317,31623,x,x,x
E06000002,22684,25517,9103,x,14974,17422,20323,25491,29470,32530,x,x
E06000003,21169,26409,8694,13169,15286,16558,18799,25856,31319,x,x,x
E06000004,24366,28880,9142,13790,16965,19134,21750,29064,33198,34800,39558,x
E06000047,22796,26233,8532,12933,14911,16482,19343,26317,31135,33602,37196,x
E06000057,19861,23323,x,x,11859,13690,16907,23872,28282,31103,x,x
E11000007,24039,28240,9166,14715,16668,18333,20947,27588,32004,34855,37715,49198
E08000037,23251,26809,9499,15010,16504,18168,20536,25719,30958,33002,35779,x
E08000021,24628,30243,10125,15796,17760,19244,21873,29511,34221,37252,40667,54431
E08000022,23165,26766,8106,13407,15700,16978,20079,26317,29464,32182,34966,x
E08000023,20269,25317,x,10497,12949,14942,18299,25562,31385,33257,x,x
E08000024,24980,28133,9146,15026,17036,18832,21508,28374,31910,33999,36945,x
E12000002,24396,28804,8628,13532,15850,17800,20973,28503,33597,36684,40137,50746
E06000008,22534,27060,x,x,14101,16494,19183,24848,31549,x,x,x
E06000009,20169,22950,7730,12669,13865,15578,17890,23019,26939,29026,32416,x
E06000006,26720,30117,8725,14275,17231,18865,22182,29981,34486,37640,x,x
E06000007,25783,30746,8842,15787,17523,19176,22559,30698,36817,39690,43872,x
E06000049,25953,30066,8254,13532,16592,18836,22241,29708,34813,37446,40674,x
E06000050,23704,27603,9160,13866,16803,18223,20988,27694,32760,36285,39075,x
E10000006,26089,29645,9170,14287,16981,18524,21597,30749,36042,39432,43449,54922
E07000026,21990,24277,8265,11314,13145,17291,19460,25341,29796,32513,35090,x
E07000027,35162,35860,x,18656,20642,23012,29816,38311,42157,45507,x,x
E07000028,25158,27645,x,14835,17092,18538,20781,28511,32917,35307,x,x
E07000029,x,41675,x,x,x,x,x,50019,x,x,x,x
E07000030,23087,26009,7958,10445,13992,15178,19412,26358,30659,32132,x,x
E07000031,20866,23696,x,13563,15020,16537,19077,24424,27567,30915,31885,x
E11000001,24560,29633,8675,13601,15907,17793,21166,28465,33493,36493,39999,50732
E08000001,22271,24850,x,12796,14597,16543,19737,25552,30615,33350,36164,x
E08000002,22784,26520,8151,12281,15378,16850,20496,26326,30037,32015,35330,x
E08000003,27947,33695,10856,17007,18770,21098,24502,31748,36686,39999,44494,59119
E08000004,22730,26679,x,12622,14496,16230,19322,25934,31264,33941,37689,x
E08000005,22078,24322,7706,12358,13290,15468,19209,25504,29652,32516,34982,x
E08000006,28773,35143,10742,17038,18982,21151,24675,32855,38711,41828,44810,x
E08000007,22591,26781,7919,11531,13453,14990,18755,26000,32136,34401,39399,x
E08000008,20464,27500,8409,12679,13978,16004,18687,23073,26309,28534,x,x
E08000009,24365,30960,x,x,14456,16870,20030,28204,34110,37298,x,x
E08000010,21709,24694,x,11880,13143,14894,18470,24846,29287,31888,35641,x
E10000017,22814,27121,8272,13299,15238,17088,19920,27300,32869,35953,39577,47135
E07000117,20460,25026,10685,14663,16496,17665,18859,23609,28050,33555,x,x
E07000118,21232,23317,x,10117,13171,14553,16579,24563,28157,29765,x,x
E07000119,28910,34272,10655,16116,17846,19259,22930,34806,40588,43117,45845,x
E07000120,23831,27383,9678,13934,14782,16264,20679,27785,31476,x,x,x
E07000121,23812,25703,7910,12007,13895,15900,19256,27665,31383,34812,38268,x
E07000122,x,22245,x,x,x,x,x,x,x,x,x,x
E07000123,22493,26541,8985,14503,16796,18226,20162,26127,31434,34346,37681,x
E07000124,x,36677,x,15450,19168,20129,26103,x,41509,x,x,x
E07000125,21339,24137,x,x,x,16029,19385,23711,29139,x,x,x
E07000126,24759,26864,9500,13750,16502,18066,21593,29422,33710,36603,39490,x
E07000127,22852,27000,x,11974,13823,15949,19188,27353,34190,37951,x,x
E07000128,20064,23531,x,x,x,14008,17698,23453,x,x,x,x
E11000002,24560,28193,8529,12939,15422,17616,20806,28553,33413,36636,40340,51027
E08000011,32236,35332,10995,18216,20718,22964,28373,37801,47480,50240,52244,x
E08000012,26040,29793,9436,14782,17298,19210,22282,30684,35837,38604,42557,51672
E08000013,22320,26529,7310,11716,14142,15043,18699,27098,30422,32539,34999,x
E08000014,20810,24521,x,x,x,15225,18218,25208,28955,30970,x,x
E08000015,20773,23952,7367,10843,12515,14937,18093,24235,27720,29711,32854,x
E12000003,23894,27692,8599,13212,15517,17435,20476,27753,32108,34930,38444,48165
E06000011,23140,26682,8315,12434,14416,16837,20198,28000,31839,35012,38822,x
E06000010,22585,25477,9250,14016,15546,17224,20114,26731,31011,32966,35403,x
E06000012,21500,24643,7118,10802,13413,15559,18605,25524,28932,31875,34471,x
E06000013,25942,28282,8246,13297,15946,17282,20308,29223,33246,36251,40636,x
E06000014,24463,29585,7869,12085,14310,17234,20709,29497,35705,38720,42330,x
E10000023,22413,25893,7445,11711,14085,16321,19398,26063,30052,33000,35998,x
E07000163,23978,28436,x,x,13414,15467,19123,x,x,x,x,x
E07000164,23358,25572,8129,12535,15506,17735,19887,25955,29718,x,x,x
E07000165,23027,28376,8385,12768,14473,17031,20004,26868,31208,34255,37893,x
E07000166,21977,23987,x,x,x,x,19280,x,x,x,x,x
E07000167,23619,23890,x,13226,15007,18259,20344,24860,27843,31002,x,x
E07000168,20762,23010,x,x,x,x,x,24010,x,x,x,x
E07000169,22222,24961,6878,10248,12939,14723,18633,26732,31411,34397,x,x
E11000003,23536,27307,8628,13093,15226,17180,20181,27178,31683,34560,38199,47093
E08000016,21265,25904,9387,12525,14958,16218,19277,25471,31143,33170,x,x
E08000017,23612,26384,7685,12699,14900,17002,20790,26525,30597,33371,37939,x
E08000018,22537,28541,8511,12509,13921,16437,19574,26760,29798,33515,37295,x
E08000019,24295,27602,8759,13626,15808,17639,20634,28285,32648,35607,38426,47329
E11000006,24549,28757,8982,13902,16296,18103,21019,28304,32722,36000,39637,50001
E08000032,23806,27530,10147,13778,16383,17992,20661,27335,31322,32988,37621,x
E08000033,24938,28496,10116,15835,17213,18405,21716,27554,31553,34805,39053,x
E08000034,21238,25674,8049,11829,13161,14668,18145,24502,28634,31587,34735,x
E08000035,26541,30456,9074,15417,17800,19321,22577,30635,35402,38311,41865,51976
E08000036,23771,28568,8703,12741,15106,16841,20097,27001,32120,34413,38792,x
E12000004,24111,28150,8628,13247,15631,17575,20703,27943,32826,36011,39830,49676
E06000015,35159,37921,10476,16298,19247,21644,28254,40393,46569,49349,53041,x
E06000016,23636,27371,9000,13878,15739,17522,20573,27620,31836,33762,37491,x
E06000061,24134,28417,8762,13658,16180,18000,21028,28504,33346,36129,39662,x
E06000018,24473,27680,9312,14816,16903,18759,21619,27431,31711,34893,38133,x
E06000017,x,25818,x,x,x,x,19310,27303,31891,x,x,x
E06000062,25801,30753,9328,14577,17419,19107,22497,29304,34816,39054,42866,x
E10000007,23682,27107,8628,12742,15126,17211,20146,26922,31006,33992,37268,x
E07000032,24450,28865,x,x,x,x,20866,29225,x,x,x,x
E07000033,22172,27826,8691,11794,14806,17951,19589,25706,x,x,x,x
E07000034,23173,27017,9817,14541,15924,17367,21041,26690,29946,x,x,x
E07000035,21774,25237,x,12082,12796,15926,18488,25520,29109,33190,x,x
E07000036,24941,29221,x,12525,16395,17605,20740,27197,33420,36528,x,x
E07000037,21624,24448,x,11025,12725,14522,18088,24013,28309,x,x,x
E07000038,22096,24715,7317,10891,13044,15667,18784,26439,28939,x,x,x
E07000039,25543,27417,x,13580,15677,17807,22989,29466,32410,34780,x,x
E10000018,24167,28238,8935,13248,15785,17316,20566,27476,32310,35820,39574,x
E07000129,24116,28912,x,14905,16641,17743,21117,26941,35478,39479,x,x
E07000130,24014,29914,8059,12899,14848,16755,20014,28041,33377,38022,x,x
E07000131,x,28626,x,x,x,x,x,x,x,x,x,x
E07000132,24095,28659,10039,13936,15707,18077,20470,28204,32232,36469,x,x
E07000133,18079,21045,x,10125,11307,12389,15235,21787,x,x,x,x
E07000134,26068,28652,x,x,17804,19546,22667,28997,33376,36044,39574,x
E07000135,20000,23708,x,11999,13509,15586,17928,23990,x,x,x,x
E10000019,22513,25346,8218,11998,14122,16364,19171,26115,30482,33183,35359,44100
E07000136,19937,21330,x,11195,12493,14249,16872,23888,27540,29693,31129,x
E07000137,21902,24853,7592,11964,14089,15891,18652,26310,28909,31497,33386,x
E07000138,22029,24494,8339,12470,14547,16918,19171,26593,31359,33993,35107,x
E07000139,24574,27130,7525,11794,14756,16771,19876,28621,33520,36804,x,x
E07000140,24239,26793,10327,14641,17378,18684,22038,26324,31973,33813,x,x
E07000141,22169,26815,8422,11953,13530,15005,18749,24908,29778,33345,x,x
E07000142,23583,26029,x,9594,x,15735,20447,26136,30437,33271,x,x
E10000024,21556,25758,6972,11776,13866,16205,18833,25473,30000,32638,37279,46275
E07000170,24119,29128,9780,15433,17106,17905,20667,27688,31817,36747,x,x
E07000171,22979,26446,9375,15275,16890,18828,20972,25976,30426,32233,36803,x
E07000172,20696,24936,7273,11316,13898,16183,18305,22904,29139,31094,x,x
E07000173,20775,23899,x,x,x,x,16996,23772,x,x,x,x
E07000174,21243,23783,8437,12666,14693,16414,18418,24661,27688,29114,x,x
E07000175,17991,22087,x,x,9634,11869,15440,20772,27201,30334,x,x
E07000176,x,28685,x,x,x,x,x,28175,x,x,x,x
E12000005,24711,29392,8628,13452,15962,17867,21026,28650,33799,36729,40000,50742
E06000019,22244,25300,8397,12067,13750,15987,19312,25509,28995,31045,34173,x
E06000021,24510,27297,x,14797,16632,18579,21239,27697,30983,33005,35275,x
E06000020,24878,29057,9061,12519,15883,17569,20978,27834,33052,35664,38311,x
E06000051,21594,25275,6628,10219,11949,14324,18015,25877,30839,33071,36323,x
E10000028,23609,26063,8584,13034,15263,17393,20385,27037,31104,34113,36365,43557
E07000192,22711,24008,7761,12357,14566,16488,19733,25070,28099,29770,x,x
E07000193,26050,27313,9425,15233,17573,19434,22619,29367,34926,36391,37604,x
E07000194,24133,28334,9096,14915,17598,18629,21597,27013,31495,x,x,x
E07000195,20424,22693,8590,12396,14514,16541,18818,23821,27322,29666,31348,x
E07000196,x,25865,x,x,x,x,x,29429,x,x,x,x
E07000197,24744,27234,x,x,x,x,x,27494,32410,x,x,x
E07000198,x,27569,x,x,x,x,x,x,x,x,x,x
E07000199,22137,24015,x,11375,13926,16672,19480,24200,27152,30096,x,x
E10000031,26856,37353,9331,14348,16744,18991,22853,30918,37304,40788,44705,x
E07000218,26695,x,11490,16301,18669,20115,23026,29523,34729,x,x,x
E07000219,20962,23846,x,11682,13060,14590,18287,23916,28538,30170,x,x
E07000220,29985,34722,10649,15543,18076,20962,25423,34626,42780,46434,x,x
E07000221,27163,31703,10144,15796,17422,19921,24136,31475,38531,41313,x,x
E07000222,27143,32254,8000,12043,15504,17944,22441,31793,37730,40281,x,x
E11000005,25785,30335,9200,14554,16913,18544,21959,30142,35897,38897,42238,53446
E08000025,27506,33338,9887,15777,17861,19554,23213,32659,38867,42126,46044,59720
E08000026,27437,30944,10084,15571,17804,19602,23416,32344,36926,40526,44963,x
E08000027,23455,26728,7984,12440,14689,16507,20240,27917,32118,35000,38557,x
E08000028,24418,26872,10238,14744,16908,18513,21436,27360,32099,34369,37924,x
E08000029,24634,31597,7500,12490,15235,17167,20598,30000,36092,40000,44653,x
E08000030,23373,25780,8582,12860,14739,17090,19900,27189,31857,34544,38310,x
E08000031,24241,27051,x,14714,16443,18017,20925,28013,32253,35078,37629,x
E10000034,22215,25763,6588,11516,13121,15889,19236,25910,30495,33397,37138,46781
E07000234,23041,27850,x,11177,13043,15805,19674,27555,34579,40180,x,x
E07000235,16852,20355,x,x,x,x,13611,20969,x,x,x,x
E07000236,23599,27224,x,14151,16576,18968,20998,26707,30669,33145,x,x
E07000237,22298,27201,6447,11167,13537,16051,19777,25666,32566,35395,38149,x
E07000238,22543,25586,x,12002,13879,15787,19217,26163,31454,34222,37065,x
E07000239,20293,21930,x,10647,11783,12911,17986,23685,27598,28998,x,x
E12000006,24983,29584,7739,12471,15000,17436,21089,29129,34204,37315,41018,53168
E06000055,27034,29885,8560,13400,16928,19208,22777,30753,34921,36428,40627,x
E06000056,25252,28501,7288,12470,14918,17989,21368,28431,33261,36431,39181,x
E06000032,26553,33311,8148,13161,15711,18364,21385,31629,36965,40768,46503,x
E06000031,25504,27757,9392,13799,16849,18000,21256,29345,32673,35652,37973,x
E06000033,19961,24493,x,x,x,x,16560,23955,x,x,x,x
E06000034,28000,28662,8415,13475,15385,17960,22500,30777,35039,36929,40970,x
E10000003,28500,34156,10145,16634,18778,20616,24623,32793,38571,41777,44984,x
E07000008,30049,35960,10686,17709,19945,21539,26118,34604,39806,42615,46887,x
E07000009,24250,29783,x,13000,15286,16294,20230,28007,x,x,x,x
E07000010,23323,25345,x,13013,14920,16533,19344,26804,31032,33005,x,x
E07000011,27041,32166,9454,15768,18254,19678,23405,30536,34456,38629,42419,x
E07000012,32445,38377,11907,19404,21185,23517,28472,38319,43465,47072,x,x
E10000012,24000,28295,6866,10883,13065,15687,19980,28221,33160,36214,40051,50816
E07000066,24752,28642,8628,11829,13707,16899,20788,28647,34125,36060,x,x
E07000067,23535,29842,x,10805,13486,16206,19766,28346,34359,36442,x,x
E07000068,x,33780,x,x,x,x,x,x,x,x,x,x
E07000069,18436,22932,x,8409,10092,11122,14530,x,x,x,x,x
E07000070,24531,28507,x,10616,13449,15620,20272,29004,34056,38727,41787,x
E07000071,24017,28622,x,12144,15507,16913,20726,27736,31651,34511,37734,x
E07000072,20998,27952,7615,11326,12874,14924,18129,27215,32911,37235,x,x
E07000073,27569,29698,10171,14704,18231,19649,22642,31455,34750,39497,x,x
E07000074,19052,22422,x,x,8651,9947,x,x,x,x,x,x
E07000075,22254,24827,x,10510,x,x,x,x,x,x,x,x
E07000076,16807,22799,x,7108,8632,9559,13200,22781,27465,29492,x,x
E07000077,28708,31896,11294,15946,19533,22271,25040,32425,36530,39398,x,x
E10000015,25968,32263,6492,12000,14978,17614,21916,30669,36924,40398,45000,61258
E07000095,24341,26398,x,x,x,x,21777,28421,32315,35116,x,x
E07000096,16243,22135,3008,5792,6761,7936,10977,20867,26391,29408,34171,x
E07000242,26980,30916,x,x,x,17724,22243,31110,36047,38188,x,x
E07000098,x,37573,x,x,x,x,x,x,x,x,x,x
E07000099,27052,30623,8157,13893,16350,17817,23242,32069,36760,41439,43493,x
E07000240,26166,34902,x,13987,16123,17674,22311,33092,37755,41965,x,x
E07000243,31454,42090,x,18325,21810,24025,27375,x,x,x,x,x
E07000102,27595,32497,x,16951,18577,21125,25120,30261,38145,43097,x,x
E07000103,25707,37131,x,15416,17872,20111,22269,29722,37800,x,x,x
E07000241,32025,37506,10908,19061,20964,22418,25957,37226,42484,47089,53580,x
E10000020,22757,25847,7024,11800,13867,16258,19419,25897,30458,32709,36449,45405
E07000143,23388,23511,x,12658,14313,17271,19623,25943,27653,28451,31125,x
E07000144,23770,27569,x,12411,x,17642,20820,27464,33214,35657,x,x
E07000145,22962,26445,x,x,x,x,x,x,x,x,x,x
E07000146,21867,25410,x,10192,12671,14959,18544,25882,30485,34858,37012,x
