,10,20,30,40,50,60,70,80,90
Code,10,20,30,40,Median,60,70,80,90
K02000001,8788,14163,18722,22210,25990,30265,35567,42522,54657
K03000001,8790,14203,18789,22261,26056,30360,35695,42658,54961
K04000001,8784,14166,18774,22250,26067,30357,35724,42821,55284
E92000001,8788,14201,18837,22355,26233,30500,35956,43185,55823
E12000001,8747,13504,17489,20266,23273,26755,31000,36736,45993
E06000005,7858,12363,16911,20585,24689,28921,33083,39097,x
E06000001,8182,13693,16385,20010,23081,27388,31208,34925,x
E06000002,x,x,x,18716,21634,24229,27770,x,x
E06000003,8582,12209,17353,18964,20983,23554,27523,x,x
E06000004,8822,15265,18687,21490,24855,27999,31988,37081,x
E06000047,9220,13734,17210,19728,22464,25891,30631,37238,x
E06000057,6339,9784,13432,17997,21233,24464,29069,34561,x
E11000007,9555,14743,18274,20999,24195,27332,31802,37585,47607
E08000037,8764,14095,17928,20539,22786,25473,29785,35363,x
E08000021,10370,16539,19487,23223,26086,30606,35097,41860,52767
E08000022,10331,12966,16586,19911,23200,26177,30022,34852,x
E08000023,x,11567,15700,18574,20553,23008,26430,x,x
E08000024,9112,14552,18102,20147,23057,26587,30155,35398,x
E12000002,8557,13587,17995,21100,24398,28262,33303,40082,50263
E06000008,7541,12738,17338,21129,24598,27560,33926,37952,x
E06000009,8751,13163,16367,19338,21635,25421,30240,34131,x
E06000006,10223,15206,19348,22158,25868,29044,32887,40793,x
E06000007,8309,13952,18658,22000,25882,30510,35521,44743,x
E06000049,8008,13607,18270,21750,24900,29291,33994,40999,x
E06000050,9144,13698,18853,22160,25477,29973,35274,40611,50014
E10000006,8525,13689,17870,20996,25133,30191,35814,42312,53056
E07000026,8261,13089,16539,18603,22070,26178,28639,36365,x
E07000027,x,17908,22350,27014,33165,36993,41459,x,x
E07000028,7157,10645,15650,19005,21512,25295,31126,34234,x
E07000029,11432,18920,30113,38772,43404,50946,53784,56371,x
E07000030,x,x,16122,19098,21195,25857,28512,x,x
E07000031,x,x,17457,19489,21532,25178,30014,x,x
E11000001,8426,13453,17928,21105,24342,28000,32840,39252,49893
E08000001,x,12817,16787,19413,22815,26137,31468,x,x
E08000002,x,x,16337,19381,23001,26803,30150,x,x
E08000003,10427,16624,20762,24085,27839,31909,37796,44408,x
E08000004,9187,13525,17183,20265,23210,26395,29794,34704,x
E08000005,7622,12632,16583,20431,23614,25782,29795,35319,x
E08000006,7794,13551,18769,21605,24964,28600,33316,40616,x
E08000007,x,x,17139,20302,22745,25394,x,x,x
E08000008,x,10321,14827,18320,21512,24343,27580,31856,x
E08000009,8262,13269,17292,21506,24653,29745,35878,43000,x
E08000010,x,10959,15045,18800,21503,24589,29540,36050,x
E10000017,8038,12726,16498,19856,22690,26294,31409,38830,47014
E07000117,x,13225,15577,17792,20197,22685,26157,x,x
E07000118,x,9868,13446,16615,20214,25148,29120,x,x
E07000119,9786,16360,19784,22644,25869,33212,39937,45442,x
E07000120,7163,10997,14846,17642,20190,23081,27337,x,x
E07000121,7766,11652,15672,19612,23299,26356,29945,35694,x
E07000122,x,14359,17783,20021,21847,24344,28520,x,x
E07000123,9197,14031,17986,20608,23254,25954,32013,39292,x
E07000124,x,13648,18814,21143,26541,36378,41220,48893,x
E07000125,7336,9433,11700,16828,20551,22451,x,x,x
E07000126,7886,12626,17600,21218,24651,28789,32282,36549,x
E07000127,8342,13776,17715,20079,22674,25676,30760,41747,x
E07000128,x,8554,13155,17284,20985,23249,x,x,x
E11000002,9401,14196,18604,21560,24907,28912,33526,40410,50743
E08000011,9941,15171,19377,22079,24550,28307,33002,38962,x
E08000012,9877,15606,19989,22721,26397,30077,34764,41131,51594
E08000013,11489,17398,20389,24614,28961,34246,42698,50428,x
E08000014,8782,12033,16154,19396,23059,27254,31618,37510,x
E08000015,7882,12230,15861,19075,21595,24982,29116,34240,x
E12000003,8637,13503,17710,20600,23776,27694,32000,38741,48807
E06000011,7491,11393,15675,19433,22698,27275,30805,37403,x
E06000010,8995,13915,17733,20593,23315,27012,31053,35326,43038
E06000012,8374,12737,16692,18295,20513,25372,29238,33808,x
E06000013,8559,13528,18326,21042,24387,29009,32943,39721,x
E06000014,9019,14468,19314,22021,25366,30979,38486,44001,x
E10000023,8327,12975,17433,19991,23263,26905,30781,36548,45915
E07000163,x,x,x,x,x,x,x,x,x
E07000164,x,x,17508,19983,22942,26835,x,x,x
E07000165,9387,14021,18559,20700,24176,27364,32006,37580,x
E07000166,x,11961,15381,19317,22363,x,x,x,x
E07000167,x,x,17790,20628,23186,26049,28915,x,x
E07000168,8565,12855,15516,18972,21338,24615,28814,33577,x
E07000169,8014,14457,18193,22187,27275,31018,34126,x,x
E11000003,8777,13255,17431,20420,23489,27135,31200,37559,46865
E08000016,10210,14170,17737,20138,22534,26716,31897,36470,x
E08000017,x,12995,17064,20025,22877,25657,28943,34431,x
E08000018,7824,12777,15776,19897,22879,25935,30075,36075,x
E08000019,8754,13285,17902,20789,24360,28203,33178,40239,49812
E11000006,8767,13998,18002,21066,24332,28073,32641,39541,50161
E08000032,7848,12980,17212,20045,23045,27150,31149,35746,46840
E08000033,8505,13918,18004,20323,23652,26826,30836,38141,x
E08000034,6556,11165,15305,18554,21557,24820,28250,34115,x
E08000035,10092,16486,19549,23380,26671,30794,36255,42806,52495
E08000036,8534,13227,17755,20698,23996,27371,32591,39691,x
E12000004,8762,13807,17943,21004,24137,27741,32100,37892,47579
E06000015,9773,16166,20992,25094,30600,35797,41288,47032,x
E06000016,x,13046,17138,19726,22663,26306,29827,35058,x
E06000061,10140,14786,18950,21649,24679,28333,32435,37190,x
E06000018,x,14375,18398,21232,24373,27947,32000,38876,x
E06000017,x,x,16863,20690,24527,28001,x,x,x
E06000062,11819,16862,19976,22675,25743,29073,33512,39287,51276
E10000007,8784,14065,17649,20931,24043,27237,31375,37202,45917
E07000032,6886,11946,16806,20339,23301,28334,33162,40328,x
E07000033,x,15500,18184,20522,22928,25349,28175,x,x
E07000034,10019,15122,17896,22089,24343,27115,31343,37950,x
E07000035,x,11470,15514,18833,22375,25988,28915,x,x
E07000036,9310,15785,18904,21973,25632,29195,32578,x,x
E07000037,x,14728,18047,20888,23344,24579,29006,32120,x
E07000038,8741,14056,17495,20220,23740,26270,29086,x,x
E07000039,8624,13380,17374,21932,27223,29889,34786,38676,x
E10000018,9015,14285,18001,21099,24421,28078,32449,38963,47763
E07000129,8619,14935,18738,21740,25723,29648,33804,40557,x
E07000130,8849,13174,16913,20024,22996,27600,32553,39859,x
E07000131,8646,12141,17811,20780,24279,28369,33779,x,x
E07000132,10268,14296,18568,20905,24468,27524,32771,38085,x
E07000133,x,12245,14982,17302,19082,21414,25018,x,x
E07000134,10350,16870,21031,24081,26996,29999,34518,39572,x
E07000135,x,12028,15345,17940,19444,23960,x,x,x
E10000019,8022,12496,16692,19812,22940,25816,30472,35354,43062
E07000136,x,11991,16595,17780,21229,24048,28257,x,x
E07000137,x,11454,15099,17773,20670,24590,28815,33686,x
E07000138,9294,14239,17139,20566,23916,27447,32544,35989,x
E07000139,x,x,x,x,22235,26374,x,x,x
E07000140,9231,14546,18588,21385,24005,25350,31769,36597,x
E07000141,8118,11111,15037,19747,22641,25263,29568,x,x
E07000142,x,x,18101,22026,24599,29146,33196,x,x
E10000024,7322,12026,16624,19763,22247,26071,30093,35956,x
E07000170,8863,14399,18384,20359,23550,27075,31433,37863,x
E07000171,8702,x,18457,20651,23080,25949,x,x,x
E07000172,7138,11535,15331,19832,22398,25753,30477,x,x
E07000173,x,10097,13387,18348,20473,23490,29938,x,x
E07000174,7169,10430,14668,18240,20892,24182,27044,30845,x
E07000175,x,10213,14992,18897,21569,26473,x,x,x
E07000176,x,x,x,x,x,x,x,x,x
E12000005,8849,14111,18399,21678,25068,29060,33751,40341,50500
E06000019,6906,x,13647,17903,21096,24856,28916,32891,x
E06000021,9935,15014,18223,21353,24962,27948,31671,36615,x
E06000020,9008,13339,17860,21069,23754,27559,33115,38248,x
E06000051,6503,10743,14860,18815,22840,25557,29625,36477,x
E10000028,7997,12694,16959,20048,23304,26949,30895,35575,43453
E07000192,8017,12964,15584,18816,22017,26653,29759,35097,x
E07000193,8504,15379,18640,21854,24164,27131,32336,36378,x
E07000194,9077,14486,18340,20496,23183,25813,29666,34121,x
E07000195,7883,11782,15049,18104,21009,23934,28079,31267,x
E07000196,x,13165,17847,20882,26124,31180,33475,36563,x
E07000197,x,x,17138,20252,24537,28256,32147,x,x
E07000198,x,10351,14516,17790,20876,28367,31875,x,x
E07000199,x,x,x,20023,22001,x,x,x,x
E10000031,9935,15817,20179,23747,27296,31321,37429,45220,58850
E07000218,12185,18742,21593,24208,26703,30466,33637,x,x
E07000219,7802,12410,15447,19589,22992,24647,28815,x,x
E07000220,10730,18273,21679,26383,31266,36366,43567,52747,x
E07000221,x,15641,19699,25217,28002,32399,38442,46700,x
E07000222,9288,14812,20601,23023,26506,30516,37432,43188,x
E11000005,9534,15257,19235,22459,26165,30430,35618,42464,52614
E08000025,10113,16480,20063,22950,27109,31577,37422,45000,55631
E08000026,11674,16800,20772,24600,28086,33281,39173,45747,x
E08000027,8181,12684,17079,20621,24341,28022,31684,38309,x
E08000028,8863,13631,17960,21082,23886,27056,30348,36890,x
E08000029,8760,13269,19539,24272,29313,35000,39983,46909,x
E08000030,8273,12500,16568,19554,22964,27901,31250,37634,x
E08000031,9207,15773,18666,21876,25127,28260,32146,37373,x
E10000034,9059,13438,17863,21001,24507,28176,33301,39683,46899
E07000234,x,14546,17223,21002,24430,28527,33391,42823,x
E07000235,x,11268,x,x,x,x,x,x,x
E07000236,11018,17756,21301,24148,27435,34253,38769,41926,x
E07000237,7752,12566,17482,20453,22792,26788,33413,39943,x
E07000238,8774,12672,16723,19892,24343,28097,32073,x,x
E07000239,x,12579,17855,19957,22665,26397,30493,33113,x
E12000006,8111,12707,17805,21519,25325,29361,34311,41100,52260
E06000055,9481,14636,19019,22989,25826,29229,34014,40909,x
E06000056,7532,12500,17092,20981,25030,29970,34077,x,x
