,10,20,30,40,50,60,70,80,90
Code,10,20,30,40,Median,60,70,80,90
E06000005,x,13966,17162,19882,22912,26755,30976,36461,x
E06000001,6219,9568,12544,15794,20338,23691,28794,x,x
E06000002,6196,9828,13723,15830,19139,22152,27090,32381,x
E06000003,5829,9847,13163,15602,18789,24816,31399,37456,x
E06000004,7142,x,13922,17476,20803,24443,29125,x,x
E06000047,6981,11535,14988,18155,20878,24142,28445,34695,41254
E06000057,x,9012,11336,14768,17664,21096,25009,30650,x
E11000007,7439,11963,15337,18281,21253,25115,28775,34359,43437
E08000037,x,12386,15690,18721,21457,25409,29355,35181,x
E08000021,x,11870,15347,18368,21847,25795,29990,36571,x
E08000022,7516,10893,15015,18239,21193,24649,28675,32824,x
E08000023,7480,12313,14595,17897,20253,24316,27705,34927,x
E08000024,7925,11993,15360,17999,21186,24662,27359,31954,x
E06000008,6733,11466,14640,17019,19487,22611,26782,32525,x
E06000009,6760,10052,12703,14900,17555,20358,22962,28321,x
E06000006,9494,13018,16603,19573,23937,27918,33171,40963,x
E06000007,x,x,16253,19463,22589,26114,31941,37512,x
E06000049,6922,10801,15162,18084,21333,25002,29592,36615,44999
E06000050,7250,10098,14067,17155,19516,23528,29161,35433,x
E10000006,6277,10340,13980,17105,20435,24425,29638,35709,46980
E07000026,5899,8383,11573,14378,18140,21181,23826,29800,x
E07000027,x,10465,13798,16635,20730,26113,31414,x,x
E07000028,x,x,13711,16592,19074,22227,25735,x,x
E07000029,x,17334,25071,34749,39941,46011,48474,54602,x
E07000030,5569,x,12301,15467,18024,23117,26226,x,x
E07000031,6046,9550,13646,16383,18760,21994,26777,31086,x
E11000001,7027,11604,15244,18484,21451,25046,29409,34930,44130
E08000001,6256,10345,13742,16500,19409,22337,26250,30543,x
E08000002,x,x,14353,17640,20510,24607,28354,x,x
E08000003,8973,14892,18563,21775,24942,28320,33032,39279,x
E08000004,5432,9422,12444,15281,17704,20698,24421,x,x
E08000005,6496,10191,13269,16504,18751,21197,25970,33690,x
E08000006,x,13199,16988,19995,23412,27487,31477,37195,x
E08000007,5818,9337,12768,16587,20070,23203,28628,33796,x
E08000008,7193,12095,14674,16709,18817,21461,25246,29158,x
E08000009,x,10396,14550,17695,20527,24696,29826,36347,x
E08000010,5622,9867,13402,16272,19772,22285,26157,30979,x
E10000017,6914,11152,14553,17566,20514,24361,29297,35254,43741
E07000117,x,12494,14990,16633,18608,21390,25510,31227,x
E07000118,5551,9098,12800,15447,18128,21952,26312,33050,x
E07000119,9836,14898,19929,24756,29446,34038,38714,45900,x
E07000120,8169,11708,13943,15636,18888,21850,28760,x,x
E07000121,6546,10838,13859,16701,19923,23647,30240,x,x
E07000122,7513,10528,14392,17379,20174,22602,27138,x,x
E07000123,6877,10718,14255,17433,20685,23898,28149,32245,x
E07000124,x,11594,16887,20177,22836,30636,36243,40554,x
E07000125,x,x,x,x,x,x,x,x,x
E07000126,x,x,x,19145,20699,23266,26274,x,x
E07000127,7011,11388,14383,18617,20587,24165,29846,36426,x
E07000128,x,x,x,x,x,x,x,x,x
E11000002,6734,10478,14325,17515,20969,24479,29179,34630,43370
E08000011,5399,8325,12848,15783,19575,22944,28233,35129,x
E08000012,7754,12158,15656,19322,22951,27082,30746,36392,46435
E08000013,6403,10615,14083,16118,19282,22738,26596,32210,x
E08000014,6799,10020,13961,17333,19601,22312,26383,30811,x
E08000015,6617,9464,12494,16344,19636,23652,27797,33163,x
E06000011,6860,10401,13356,16317,18915,22664,26850,32155,x
E06000010,6649,10144,13493,16435,19523,23184,27366,33485,x
E06000012,x,8890,12056,15526,18646,22037,x,x,x
E06000013,x,11166,14849,17767,22344,26587,30842,37023,x
E06000014,x,10406,14492,17549,20574,24502,29891,35274,x
E10000023,5531,9743,13539,16734,20026,23247,27903,32200,41217
E07000163,x,x,13338,16041,19713,22712,27126,x,x
E07000164,x,8688,13434,16057,18697,21902,x,x,x
E07000165,5998,11654,14986,17341,20020,23087,27214,33058,x
E07000166,x,x,x,x,17469,21683,x,x,x
E07000167,x,10396,14331,16731,19441,22718,25520,x,x
E07000168,x,x,x,13921,19105,22680,26668,x,x
E07000169,x,x,x,x,x,x,x,x,x
E11000003,6582,10266,13859,16807,20145,23752,28343,33915,41981
E08000016,x,x,x,x,x,x,x,x,x
E08000017,6730,10481,13429,16033,18703,22336,26716,31956,x
E08000018,x,x,13738,16258,19870,23015,28279,x,x
E08000019,6498,10222,14346,17531,21102,24696,28997,34385,43330
E11000006,7000,11567,15097,18152,21283,24647,28976,34483,43904
E08000032,6583,10555,13914,17194,20372,23255,27271,32419,x
E08000033,x,x,x,17774,19992,22872,27622,x,x
E08000034,x,x,12129,14936,17603,20654,24006,29954,x
E08000035,8401,13552,17171,20100,23360,27180,31881,37177,47274
E08000036,7690,12094,15352,17954,20985,23953,28149,33312,x
E06000015,8143,13849,17985,24377,28981,34151,39342,43190,x
E06000016,6397,10051,14204,17571,20784,23994,28118,34624,x
E06000018,7287,12046,15907,18842,22253,25310,29046,34780,x
E06000017,x,x,x,x,x,x,x,x,x
E10000007,6207,9925,13132,16358,19303,22853,26957,32204,41985
E07000032,x,12331,14981,18142,21931,25837,29288,x,x
E07000033,x,10796,14586,17231,20461,23057,27291,x,x
E07000034,7406,9836,13497,16680,19257,22687,27305,x,x
E07000035,x,9492,12183,15380,16985,20864,24952,29311,x
E07000036,x,8973,12767,15779,17991,21510,25730,33755,x
E07000037,5188,7833,10206,14050,17468,20457,23966,x,x
E07000038,5305,8031,11633,14048,17044,19504,x,x,x
E07000039,6958,9960,13998,18260,21356,24669,29000,x,x
E10000018,6196,10585,13983,17421,21043,24488,28697,33662,42866
E07000129,6196,12486,16189,19733,22174,24959,30381,36285,x
E07000130,x,9985,12960,16508,20738,24439,29571,35505,x
E07000131,x,x,x,x,x,x,x,x,x
E07000132,x,12044,14996,18449,21509,25221,30103,x,x
E07000133,x,x,x,x,x,x,x,x,x
E07000134,x,x,x,17071,21060,24274,26566,x,x
E07000135,x,11682,14036,15472,18260,22215,x,x,x
E10000019,6743,10539,13985,16720,19301,22220,25973,30650,38458
E07000136,7317,9788,12931,14555,17325,19554,23397,x,x
E07000137,6158,9412,13501,x,20288,x,x,x,x
E07000138,5986,10364,13506,15511,18228,21230,24941,32040,x
E07000139,x,10534,14060,17163,18450,21512,26440,30755,x
E07000140,8793,13991,16347,18669,21010,22953,26444,30345,x
E07000141,6076,10285,13857,17003,19456,22333,26603,30094,x
E07000142,x,x,13696,15797,19288,22480,24591,x,x
E10000021,7113,11346,14983,17698,20643,24243,28283,33950,43675
E07000150,7801,11273,15503,18281,21523,24276,x,x,x
E07000151,x,12427,16899,19153,21415,27064,31079,x,x
E07000152,x,9809,13046,15241,19467,22582,x,x,x
E07000153,x,10653,13033,15366,19490,22451,27590,32177,x
E07000154,x,11575,15451,18073,21438,24663,28580,34844,x
E07000155,x,x,x,x,x,x,x,x,x
E07000156,7472,11987,15017,16636,20020,22007,25208,31447,x
E10000024,6193,10000,13404,16347,19285,22376,26503,31931,x
E07000170,x,12862,14948,17119,20083,22608,26188,x,x
E07000171,x,11070,14677,17558,19414,21696,26793,32455,x
E07000172,x,x,x,x,x,x,x,x,x
E07000173,x,x,x,x,x,x,x,x,x
E07000174,5487,7799,10899,12897,15434,18097,21910,x,x
E07000175,4393,8982,x,x,x,x,x,x,x
E07000176,x,9923,12628,16531,20687,24490,28480,x,x
E06000019,5411,8819,11822,15344,17993,20180,22814,26990,x
E06000021,7247,11745,15252,18014,20499,23339,26785,31552,39493
E06000020,7733,11625,15187,18095,21623,25787,30308,34520,x
E06000051,x,x,11888,15016,18419,21485,25373,30315,x
E10000028,6244,10305,13518,16679,19611,23106,27601,33153,41853
E07000192,7099,10678,14401,16827,19274,22730,26772,30809,x
E07000193,6430,10501,14043,17610,20282,25194,30861,35859,x
E07000194,x,x,13512,16817,20744,25305,x,x,x
E07000195,8060,10267,13337,15429,17916,20711,23085,28933,x
E07000196,x,x,x,x,x,x,x,x,x
E07000197,6122,10670,14316,17566,21300,24960,28560,33686,x
E07000198,x,x,11639,14102,17473,19901,23620,30856,x
E07000199,x,x,x,x,x,x,x,x,x
E10000031,7218,11123,15602,19092,22464,26454,31665,37670,47857
E07000218,6964,x,15837,18419,20315,22806,27253,x,x
E07000219,6748,10409,14119,16521,18618,22493,25502,32667,x
E07000220,7956,12739,17348,21999,25088,29834,33589,38671,x
E07000221,7158,10424,14582,19483,23542,27348,35722,x,x
E07000222,x,x,16053,20203,23612,28357,33003,39472,x
E11000005,7180,11669,15245,18374,22074,26102,30821,36885,45869
E08000025,7310,12229,16005,19461,23288,27444,32232,38046,47000
E08000026,6880,11152,15457,19373,23454,27346,32844,39457,x
E08000027,x,10260,13496,16242,18897,22776,26404,32271,x
E08000028,7103,11305,15102,17709,20833,23863,28394,32574,x
E08000029,7406,12445,15811,20887,25136,30659,36629,43030,x
E08000030,6734,10092,13726,16859,19243,23418,28564,32427,x
E08000031,7396,12039,14518,17292,20250,24040,28239,33955,x
E10000034,6073,9649,13347,16039,19013,22271,26308,31596,40190
E07000234,6751,11017,13882,15817,18964,21239,24936,x,x
E07000235,x,7921,10616,14946,18132,20796,x,x,x
E07000236,7926,11605,14422,16232,19605,22710,26661,31311,x
E07000237,6126,x,13658,16279,19040,23345,28777,x,x
E07000238,6693,9658,13843,17470,20561,23897,26884,32155,x
E07000239,4320,6768,10200,13951,16424,18978,22210,x,x
E06000032,6028,10397,14294,18332,23735,27937,32987,39997,x
E06000031,x,x,16426,19616,23332,26897,31899,x,x
E06000033,x,x,13565,16230,19462,23055,27080,x,x
E06000034,7234,9734,13167,17542,20769,24014,28196,34547,x
E06000055,6752,11117,15281,18150,22093,25442,30136,36646,x
E06000056,x,x,14205,17901,21516,24919,x,x,x
E10000003,8119,13197,17445,21412,24568,28848,33386,40653,53863
E07000008,x,13810,17915,22500,26220,30049,34767,42271,x
E07000009,x,11040,14251,19062,21692,23836,27879,x,x
E07000010,x,x,x,x,x,x,x,x,x
