,10,20,30,40,50,60,70,80,90
Code,10,20,30,40,Median,60,70,80,90
K02000001,9600,15551,20223,23939,27774,32313,37818,44786,57191
K03000001,9600,15594,20271,24000,27902,32437,37971,44973,57512
K04000001,9597,15572,20265,24000,27942,32487,38028,45151,58026
E92000001,9600,15602,20326,24087,28040,32646,38266,45472,58633
E12000001,9032,14404,18534,21614,25017,28556,33458,39213,47939
E06000005,10712,15149,19494,21828,25155,x,x,x,x
E06000001,7520,12774,16114,19622,22415,28056,32752,x,x
E06000002,x,x,x,x,x,x,x,x,x
E06000003,6821,9940,14339,18301,19705,23192,31004,x,x
E06000004,9037,13613,19577,22731,26155,29387,33415,38654,x
E06000047,9749,15149,18732,21754,25018,27664,33221,39147,x
E06000057,7216,11515,x,19387,22561,26940,31103,x,x
E11000007,9587,15151,19231,22177,25528,29323,33993,39589,48394
E08000037,9303,14565,19046,21770,24974,27814,33606,38606,x
E08000021,10648,17078,21000,24230,27941,31701,36388,41771,x
E08000022,x,13070,17471,21045,24853,28250,33167,39983,x
E08000023,x,11888,15224,19048,22134,26514,30523,35336,x
E08000024,x,15297,18989,21596,24616,27916,32098,36243,x
E12000002,9564,15115,19593,22709,26173,30200,35360,42149,52954
E06000008,8351,13091,16367,20521,24257,28126,33738,x,x
E06000009,9441,14315,x,20744,22554,26128,31112,x,x
E06000006,11739,17619,21942,25353,28757,35043,40755,45286,x
E06000007,11008,17072,21336,24243,27944,33015,38639,45958,x
E06000049,9698,15777,20684,23866,27793,31498,36894,44359,x
E06000050,x,x,20475,23932,27110,31096,38606,x,x
E06000063,x,13907,18655,22521,26087,30954,37498,45332,x
E06000064,x,15296,19339,22288,25774,29798,34696,x,x
E11000001,9731,15511,19760,22959,26412,30360,35456,42284,53955
E08000001,8969,13917,17430,20273,23586,27312,30743,36031,x
E08000002,9585,16747,19604,22130,25422,28139,32482,39914,x
E08000003,x,18817,22403,25721,30127,34816,40408,47425,x
E08000004,8469,13668,17648,21223,24022,27374,31764,39054,x
E08000005,x,x,x,20742,23818,27507,30830,x,x
E08000006,10985,18924,22211,25522,28848,32971,38300,45320,x
E08000007,x,13041,17472,20357,23504,27963,32885,x,x
E08000008,9605,13611,18036,19922,22867,25310,28280,34596,x
E08000009,8903,14416,19581,24102,27702,32134,38137,x,x
E08000010,9617,13413,17579,21095,23596,27143,30993,38824,x
E10000017,9098,14556,19122,21905,25000,28914,33900,40275,49510
E07000117,10081,15553,17953,20230,22575,25217,28352,33644,x
E07000118,x,11832,16165,19746,23678,28160,31290,x,x
E07000119,10945,17450,21502,24708,27957,32943,40437,x,x
E07000120,x,13679,17687,20985,23744,29157,x,x,x
E07000121,x,x,x,x,x,x,x,x,x
E07000122,x,15690,17782,20139,21574,25589,29776,x,x
E07000123,x,15080,20010,22181,25128,28663,33864,40222,x
E07000124,x,18565,21686,25562,30181,36536,43718,x,x
E07000125,9490,12183,15256,20134,21963,24055,x,x,x
E07000126,x,14271,20128,22856,25738,30873,35195,39338,x
E07000127,x,16565,20735,23855,26437,30060,35527,43576,x
E07000128,x,x,18190,20657,23043,26305,31403,x,x
E11000002,9368,14382,18922,22251,25874,30000,34311,41062,51929
E08000011,11471,15875,20043,22350,24970,30707,35263,39215,x
E08000012,x,16149,20620,24607,27677,31680,37678,44493,x
E08000013,8846,13995,18422,21913,25133,29088,32589,37335,x
E08000014,9539,13012,16653,20078,24148,28825,33188,39591,x
E08000015,7654,12343,17222,20491,23880,27565,30868,36750,x
E12000003,9600,15116,19424,22598,25862,29888,34478,40847,51740
E06000011,x,13963,17893,21665,24944,29175,33928,x,x
E06000010,x,13970,17878,21221,24357,28167,32146,37263,x
E06000012,8468,13212,17196,19763,23719,26697,31818,37909,x
E06000013,10624,15600,19649,22998,25950,30318,34633,41351,x
E06000014,10274,16759,20289,23285,27576,32651,40222,48751,x
E06000065,9391,14407,19119,22237,24984,28990,32941,38389,x
E11000003,9223,14644,18998,21977,24942,28538,32848,39623,49547
E08000016,11038,16099,18935,21929,24396,27659,32178,36402,x
E08000017,8447,13787,18129,21022,24145,27676,31106,37738,x
E08000018,x,13619,18370,21845,24511,27505,31969,38900,x
E08000019,9334,15077,19895,22614,25527,29879,34550,41014,52700
E11000006,9938,15873,20040,23390,26869,31214,35932,42490,54372
E08000032,8844,14430,19187,22720,26628,30274,33621,39928,x
E08000033,8840,14395,19430,22488,25592,29372,34155,39508,x
E08000034,9674,13903,18551,21536,24510,28729,33743,39617,x
E08000035,11684,18059,21588,25003,28757,33181,39027,46036,56862
E08000036,9884,14895,19047,22672,25717,28739,33979,40756,x
E12000004,9359,14602,19029,22355,25819,29577,34042,40124,50000
E06000015,10028,16219,21832,25834,29941,35618,40983,47499,x
E06000016,8455,12847,18182,20942,24156,27945,31970,38980,x
E06000061,10233,15888,20050,23808,27416,31221,35243,39385,x
E06000018,9544,14692,19364,22430,25853,28587,31939,38329,x
E06000017,x,x,20303,22595,25096,30754,x,x,x
E06000062,10924,17382,20950,25142,28183,32100,36957,43849,x
E10000007,8313,13485,18144,21352,24783,28569,32654,37706,46997
E07000032,7974,13542,17132,20452,23924,27511,32562,x,x
E07000033,x,x,x,x,x,x,x,x,x
E07000034,8186,13405,19035,21365,24113,28408,32137,37871,x
E07000035,x,12274,15801,19510,23505,27824,32773,x,x
E07000036,x,12753,18414,22508,26898,30233,34024,x,x
E07000037,x,15344,18371,20926,24060,27826,32235,x,x
E07000038,x,x,18328,21503,25572,29294,31652,x,x
E07000039,x,13110,16741,22488,27440,30864,33398,x,x
E10000018,9550,15338,19920,23567,27177,31241,35586,41845,52569
E07000129,11018,17922,22476,26952,30333,35674,41251,45806,x
E07000130,8400,15252,19305,23425,26403,31739,37304,43022,x
E07000131,x,15040,19182,23078,26025,29547,33369,x,x
E07000132,9485,14602,18703,22034,25015,28648,31893,36429,x
E07000133,x,x,14889,x,x,28777,x,x,x
E07000134,12409,20445,23467,26233,29290,33124,38047,45266,x
E07000135,x,x,12343,15694,19676,21840,x,x,x
E10000019,8999,14204,17979,20983,24527,28293,32299,37463,x
E07000136,x,15479,x,x,x,x,x,x,x
E07000137,8717,13132,16910,19742,23381,26675,30104,x,x
E07000138,9397,15114,18473,21582,26359,29456,33106,37473,x
E07000139,9395,13702,17711,20996,24512,28790,33112,38026,x
E07000140,x,15713,19454,22521,24872,28800,34577,x,x
E07000141,x,x,x,x,23468,27273,x,x,x
E07000142,x,x,18775,22000,27913,32902,38782,x,x
E10000024,8825,13224,18173,21064,23652,27630,31713,37601,x
E07000170,x,x,x,x,x,x,x,x,x
E07000171,9536,15968,19478,21516,23484,25628,29223,34166,x
E07000172,8856,12094,16623,19808,23680,27890,30902,x,x
E07000173,x,12067,17103,21377,24838,29832,x,x,x
E07000174,8438,11669,14428,19316,22129,26407,30998,x,x
E07000175,6994,11329,17112,19457,22362,25929,30538,38150,x
E07000176,x,x,x,x,x,x,x,x,x
E12000005,9579,15167,19620,22980,26554,30754,36116,42083,51859
E06000019,x,x,15970,20011,23493,26469,29801,35253,x
E06000021,x,x,x,21493,25489,x,x,x,x
E06000020,10801,16629,20055,22533,25906,31226,36266,x,x
E06000051,7603,12048,17156,20846,24732,28915,34323,40383,x
E10000028,8838,13802,17807,21175,24454,27722,32060,37491,46041
E07000192,9149,13437,16145,18914,21665,26021,28639,x,x
E07000193,11084,16706,21334,23996,26260,30900,35539,40006,x
E07000194,9083,14783,18735,21033,23469,25953,29503,34419,x
E07000195,7881,10789,15647,20028,22880,26186,30190,35307,x
E07000196,x,11257,13726,16882,20699,24059,29585,x,x
E07000197,9879,15409,20255,23352,27495,30948,35985,41883,x
E07000198,x,x,x,x,x,x,x,x,x
E07000199,9248,12166,17854,21824,24999,27620,31873,x,x
E10000031,9846,15406,20223,23603,27164,31283,36434,43876,56282
E07000218,9757,16162,21107,23429,28536,31568,35741,x,x
E07000219,x,12352,16168,19036,22895,26653,28722,x,x
E07000220,10969,18821,21976,26271,31441,35975,41026,46482,x
E07000221,9760,15211,19570,21783,25707,30049,35991,42334,x
E07000222,9992,15931,20831,24225,27324,30858,37127,45538,x
E11000005,10448,16492,20504,24126,28184,33127,38865,44548,54763
E08000025,10741,17516,21320,24895,28609,33676,40035,46308,58016
E08000026,9848,15268,20469,23943,28264,33402,38378,45633,x
E08000027,9250,14813,18834,22006,25639,29604,35000,40150,x
E08000028,9838,14012,18601,21035,23603,27050,30891,39101,x
E08000029,13560,21505,28838,34098,39016,41868,45224,52251,x
E08000030,9206,14384,18614,21383,25565,28806,34420,39613,x
E08000031,x,x,19315,22212,26307,30125,33798,38050,x
E10000034,x,14142,18992,22123,25444,28732,34286,40662,x
E07000234,x,x,18347,21512,25822,28197,33255,x,x
E07000235,x,12250,x,22500,26754,29172,34807,x,x
E07000236,10813,16690,20509,22030,23990,26913,31993,x,x
E07000237,x,12541,18694,21773,25505,29914,39117,43216,x
E07000238,x,x,x,x,x,x,x,x,x
E07000239,9560,14143,18740,21108,23501,25769,31481,x,x
E12000006,8608,13557,18923,23025,26797,31180,36211,43620,55243
E06000055,9108,14099,19941,23433,27662,32352,36889,45052,x
E06000056,9380,14251,19264,23484,27283,31755,37528,43783,x
E06000032,7325,11990,17277,21827,26763,31401,35331,43210,x
E06000031,8708,14109,18855,21871,25507,30106,34078,41882,x
E06000033,x,12366,14964,18650,21461,25601,31809,35079,x
E06000034,x,16372,20477,24673,28316,34107,38288,46468,x
E10000003,11137,17662,21902,26070,30000,34003,39826,46509,x
E07000008,x,x,24474,28662,32106,35649,40249,x,x
E07000009,x,13984,17274,20289,25016,28135,30707,x,x
E07000010,8684,14173,18177,20984,24518,27462,34351,x,x
E07000011,10608,17438,21544,25509,28351,32491,36108,43176,x
E07000012,11365,19993,25057,29694,34418,41221,46595,x,x
E10000012,8435,12993,18331,22456,26343,30318,35730,42929,x
E07000066,8695,14837,20284,23939,26769,29686,35794,x,x
E07000067,10521,13901,19220,22059,25679,29965,34011,x,x
E07000068,11046,14902,21289,26439,30056,34765,41497,x,x
