,Median,Mean,10,20,25,30,40,60,70,75,80,90
Code,Median,Mean,10,20,25,30,40,60,70,75,80,90
K02000001,31600,38161,10981,17969,21197,23530,27441,36542,42548,46112,50378,65224
K03000001,31722,38359,11014,18011,21252,23607,27539,36664,42740,46367,50606,65591
K04000001,31708,38600,10968,17989,21226,23574,27516,36661,42777,46413,50799,66101
E92000001,31882,38970,11026,18055,21322,23690,27656,36899,43049,46746,51201,66976
E12000001,28190,31986,10664,16662,19377,21773,25000,31996,37022,39786,43512,53782
E06000005,27926,32740,x,x,18864,21865,24763,32180,38225,x,x,x
E06000001,26222,28885,10062,15416,17332,18446,22868,30300,36239,37763,x,x
E06000002,27710,30281,9968,16643,18788,21513,24925,31103,35992,38929,43146,x
E06000003,26593,28206,x,x,x,18711,23263,30078,34472,37122,x,x
E06000004,26893,31059,10721,15770,18792,20676,24421,31068,35497,38964,43314,x
E06000047,27600,31360,x,16281,19013,21534,24663,30823,35999,38550,42405,x
E06000057,26450,29331,7887,13337,16146,19123,23273,30228,35874,37366,40134,x
E11000007,29158,33268,11580,17626,20518,22530,25628,32850,37804,40902,44962,55500
E08000037,27192,30241,9612,16170,18424,20561,24326,30022,34643,38058,40596,x
E08000021,30646,35489,12637,19384,22647,24274,27100,34594,40046,44042,46627,60452
E08000022,29780,34687,11575,18005,21148,22798,25725,34241,39814,43616,47419,x
E08000023,25141,29143,9107,14610,16344,18984,21737,30060,34572,37648,40992,x
E08000024,28786,32160,11596,17470,20353,22151,25409,32535,35883,38069,41521,x
E12000002,30298,34999,11136,18041,21049,23149,26565,34726,40241,43725,47716,60416
E06000008,30035,34667,x,18245,21453,22967,26697,35367,40782,43077,47036,x
E06000009,26707,29956,10296,14721,16595,18566,23011,30805,36472,39497,41980,x
E06000006,32354,35935,9348,16343,20870,23431,28393,35628,42599,46908,49347,x
E06000007,34462,39347,12340,22113,24219,26212,30508,39635,46469,49716,54013,x
E06000049,31387,37400,11689,18480,21550,23591,27317,35878,40875,44509,50158,x
E06000050,30301,35186,12000,17923,21341,23066,26979,35000,42823,46319,49537,x
E06000063,31041,35166,11217,17204,19666,22043,26662,36008,42908,47556,51650,x
E06000064,32580,36362,11618,17868,20563,23373,27498,37421,44559,48559,53474,x
E11000001,30465,35894,11375,18646,21394,23491,26690,34525,39809,43540,47417,60818
E08000001,25885,28471,x,13110,17335,20328,23627,30011,34647,37906,39965,x
E08000002,29382,32239,9121,14553,18463,21256,24851,33749,37986,39433,43361,x
E08000003,33272,40513,12996,21558,23744,25571,29406,37833,44279,48057,52669,69448
E08000004,28999,32629,10533,16318,18979,20801,25075,31997,35374,38251,43264,x
E08000005,27823,33135,11244,16583,18441,20087,24513,30826,34481,37172,39887,x
E08000006,33410,40500,15634,22870,25009,26468,29636,38108,43833,46062,51450,x
E08000007,27410,30972,9665,15156,18103,20478,24243,32345,37335,40078,42980,x
E08000008,28159,31394,11623,18339,20677,22416,24759,32771,37043,39600,43628,x
E08000009,29841,35566,10608,17075,20101,22829,25996,34276,39839,43668,49243,x
E08000010,27814,31480,11662,16914,20062,21801,24819,30900,35336,38202,42738,x
E10000017,29303,32575,11143,17787,20652,22871,25806,32981,38002,41467,45473,55213
E07000117,26378,28679,x,17965,19624,21177,23726,29602,32812,35446,38346,x
E07000118,29527,31399,x,14643,19240,22494,25721,33114,38644,40347,x,x
E07000119,37064,39812,13832,21570,22813,25921,30568,41393,48165,49948,x,x
E07000120,27916,31781,x,16685,19982,22769,25234,29962,34169,x,x,x
E07000121,28782,30164,x,15699,19660,21027,24173,32284,35883,36782,x,x
E07000122,27314,30630,12564,18709,20631,21799,24843,28745,32393,x,x,x
E07000123,29362,33469,x,18634,21489,23674,26094,33119,38867,43117,46922,x
E07000124,34613,40415,12446,20266,23852,25711,30344,41847,49008,51887,x,x
E07000125,26539,28580,x,x,18281,20921,23112,29372,32324,x,x,x
E07000126,30233,32972,x,18823,21194,23234,25978,36720,40384,x,x,x
E07000127,28917,31645,x,17549,21031,23215,26045,33607,38543,x,x,x
E07000128,26691,27859,x,14000,16262,19937,24827,28945,32936,34431,x,x
E11000002,29550,33219,10002,16566,19948,22421,25852,33977,39290,42002,45386,58294
E08000011,30097,35445,11299,19341,22561,23963,26115,36641,41269,44984,47677,x
E08000012,31463,35760,12250,20044,22694,24600,28344,36615,41319,44271,47653,60293
E08000013,27093,31665,10914,15488,18275,21465,24120,31854,36747,40092,44694,x
E08000014,25228,28696,7324,12350,14100,17061,21537,28642,34657,38269,42793,x
E08000015,27578,29789,x,13532,16508,19955,24005,31017,35425,37954,41166,x
E12000003,29831,33662,11060,17808,20683,22813,26092,33865,38855,42120,45889,57023
E06000011,27873,31689,10218,16428,18634,21224,24805,31867,37205,40555,44420,x
E06000010,29520,33388,12554,18240,20930,23124,25943,32995,36670,40356,43477,x
E06000012,28654,31663,x,x,19485,21000,24548,33466,39244,40870,x,x
