,Median,Mean,10,20,25,30,40,60,70,75,80,90
E11000006,22237,25857,7809,12358,14310,15953,19080,25885,30234,32738,35818,45191
E08000032,20885,23859,7950,11338,13408,15123,17901,24420,28459,30304,33033,x
E08000033,21592,25301,8060,12291,13862,15349,18496,25915,29362,31266,34364,x
E08000034,18910,22314,x,9002,10709,12599,15424,22356,26338,29601,31751,x
E08000035,24420,28350,8345,14244,16034,17776,20909,28343,32849,35715,39125,49511
E08000036,21550,25368,8802,13112,14599,16059,19001,24858,29488,31652,34859,x
E12000004,21324,25122,7160,11346,13455,15195,18171,25000,29368,32091,35380,45100
E06000015,26819,30677,8082,13229,15720,16944,21390,31598,37297,41360,44717,x
E06000016,21595,24134,x,10526,13364,14938,18180,24481,27942,30000,33529,x
E06000018,21740,26477,x,12251,14160,15842,18633,25121,30010,32918,36649,x
E06000017,x,22904,x,x,x,x,17289,21705,x,x,x,x
E10000007,20566,24281,6897,10950,12587,14475,17321,24499,29175,31517,34571,43076
E07000032,24060,28663,7759,12943,14833,16467,19583,28992,32932,38236,40452,x
E07000033,18564,22637,x,11187,13656,14964,16505,21228,26084,x,x,x
E07000034,19305,22941,7353,11028,11959,13705,15872,23021,27319,29866,32376,x
E07000035,21320,25061,8531,10661,13682,15702,17970,25279,30176,33694,35530,x
E07000036,20384,23973,x,11125,12536,14259,17010,24621,29214,31410,x,x
E07000037,19136,22862,x,x,x,x,x,23602,x,x,x,x
E07000038,x,21975,x,x,x,x,x,x,x,x,x,x
E07000039,22390,23765,6594,11582,12767,14875,19384,25439,29095,30239,32178,x
E10000018,21943,25340,6506,11007,13082,15078,18512,25492,30000,32692,35655,44015
E07000129,22436,26757,7755,11649,13080,15377,19990,26020,30887,34579,38285,x
E07000130,20544,26027,x,x,x,13571,16289,25255,30595,33632,x,x
E07000131,21950,25987,x,11122,14579,16653,20244,26793,32123,35751,38739,x
E07000132,22538,23698,x,11510,13602,15989,19082,25421,29359,31095,33289,x
E07000133,19064,23295,x,x,11100,13996,16543,22925,27446,x,x,x
E07000134,22840,25474,x,11057,14553,16056,19797,25415,29240,32253,35558,x
E07000135,20491,23316,x,12006,14019,14664,17106,23405,x,x,x,x
E10000019,20375,23576,7188,10995,13264,15102,17703,23289,27150,29929,32060,41373
E07000136,17896,20398,6983,10605,12575,13976,15643,20225,22488,25628,x,x
E07000137,21055,25461,7800,11456,13591,15869,18610,24311,29033,31342,35403,x
E07000138,20699,23882,7151,10576,12398,14991,17543,24739,28766,31232,33904,x
E07000139,20220,23957,x,x,12665,15380,17759,23225,26016,28086,x,x
E07000140,22035,24940,9574,14834,15937,17208,19766,24662,28246,30117,32427,x
E07000141,18309,21203,6256,9952,11283,13345,15527,20746,23563,25360,27109,x
E07000142,23254,25850,x,x,14806,16913,20352,26549,30650,33403,x,x
E10000021,21832,26317,8095,12368,14451,15998,18700,25935,30236,33359,36239,45962
E07000150,x,26953,x,x,x,x,x,x,x,x,x,x
E07000151,21750,26617,8732,13770,15471,17016,19104,25833,30109,32480,x,x
E07000152,21724,24095,7174,9946,13316,14961,19069,24577,27745,30552,x,x
E07000153,20941,24363,7411,11799,13475,15056,18138,24745,28734,32596,35080,x
E07000154,22455,27621,9012,13351,15006,16447,19015,26071,31466,34807,36899,x
E07000155,x,25976,x,x,x,x,x,x,x,x,x,x
E07000156,20979,24602,x,11579,14124,15912,18015,25278,29229,31530,33422,x
E10000024,20418,23302,6612,10734,12677,14438,17533,23545,27311,30003,33383,42852
E07000170,21677,26736,8018,13566,14849,16345,18978,24639,30030,32599,35624,x
E07000171,20681,22627,x,x,13885,15301,18578,23361,26195,27899,32101,x
E07000172,22893,24527,7731,11913,13312,14795,18265,25882,29408,31205,34448,x
E07000173,20846,23334,6495,9706,10626,11820,15337,25549,30956,32994,36725,x
E07000174,17520,19653,6425,9957,11185,12253,15028,19814,x,x,x,x
E07000175,18255,20895,x,x,x,x,14937,20801,x,x,x,x
E07000176,21888,24433,x,10847,12412,14681,18307,24965,28063,31405,36338,x
E12000005,22284,26449,7617,12000,14100,15748,18873,26000,30862,33979,37112,46851
E06000019,19582,22460,6877,11257,12934,14685,17414,22146,24538,26294,29781,x
E06000021,21272,24000,7866,13114,14903,16153,18833,24305,27794,29476,32915,x
E06000020,22087,26296,7777,11739,14112,15592,19177,24923,29435,32672,34447,x
E06000051,18496,21630,4904,9020,10967,12106,15418,22450,26152,27735,30891,x
E10000028,21359,24327,7266,11863,13727,15403,18440,25104,28969,31476,34396,42542
E07000192,21997,24736,x,14293,15591,17381,19993,25432,27841,x,x,x
E07000193,22306,26580,8015,13323,14993,16495,19106,26165,31529,34437,36964,x
E07000194,21308,24237,x,x,12186,13361,17190,25055,28949,31004,x,x
E07000195,19749,22497,8009,11703,13380,14707,16720,22964,26721,29569,30930,x
E07000196,21727,24195,x,x,x,x,x,26157,28361,x,x,x
E07000197,21080,23954,7252,11409,13887,15188,18104,24684,29122,31630,34910,x
E07000198,19360,22327,x,x,12156,13119,16430,24688,27939,31340,x,x
E07000199,21322,24419,x,13022,15620,16835,19547,24616,28066,31583,x,x
E10000031,24478,29189,7551,12671,15223,17045,21059,28951,34513,37973,42228,51830
E07000218,23530,28196,8658,14252,15973,18085,21436,27155,31997,33934,37809,x
E07000219,19380,21825,6413,11079,13719,14774,16985,23413,26456,29002,31152,x
E07000220,26620,29229,8045,12739,15481,17833,22605,31342,36977,39492,42390,x
E07000221,26152,32749,x,13252,16046,17862,23169,31762,38153,42937,x,x
E07000222,24715,30447,7200,12100,15039,17458,21463,29570,36262,39998,43637,x
E11000005,22885,27758,8060,12526,14507,16175,19294,27082,32503,35496,39078,48941
E08000025,23836,28540,7955,12818,14745,16649,20040,27885,33831,36791,40146,50673
E08000026,24035,28575,8110,13198,15452,17410,20605,29170,34314,37330,40629,50922
E08000027,20000,23619,7137,10297,12215,13834,16863,24000,28306,30060,31955,x
E08000028,22021,26023,x,13473,15149,16667,19386,25307,29327,32124,35373,x
E08000029,26751,31839,8340,13064,15133,17150,21532,33231,39857,42801,46256,x
E08000030,19620,25907,6767,11358,12907,14466,16611,22439,28691,31554,34314,x
