S12000008,24440,26637,9147,12530,14297,15817,20291,28920,34086,36463,38545,x
S12000045,23683,28005,x,13259,15067,16195,21022,26182,x,x,x,x
S12000010,28204,29071,x,15435,18028,20737,23913,31284,35296,37562,39678,x
S12000011,25701,27356,x,15378,16796,17566,21148,29206,32813,36689,x,x
S12000036,33054,38510,12531,20965,22883,24945,28891,37781,43903,48288,53513,67658
S12000014,28685,34198,8465,15147,17862,21538,24939,32885,37605,42028,44798,x
S12000047,26409,30364,x,15556,17851,20090,23439,30141,36514,39220,42431,x
S12000049,31856,36264,11890,18301,21671,23997,27964,37087,42553,45401,48600,60000
S12000017,27541,30078,x,x,x,19465,23894,31564,37354,39266,x,x
S12000018,x,x,x,x,x,x,x,x,x,x,x,x
S12000019,28623,30889,x,16307,17815,21056,24781,32940,38041,41662,x,x
S12000020,26235,29543,8298,12293,13989,17011,22238,31143,38527,43204,45043,x
S12000013,x,28282,x,x,x,x,x,x,x,x,x,x
S12000021,28225,29839,8000,14876,16893,21654,23428,34068,38933,41069,42241,x
S12000050,30359,32989,10468,17256,19997,22155,26235,34678,39065,42269,44975,x
S12000023,x,27215,x,x,x,x,x,x,x,x,x,x
S12000048,x,32482,x,x,x,21859,x,x,x,x,x,x
S12000038,29382,32429,10600,15875,19716,22247,26334,32581,38079,41099,45408,x
S12000026,x,25909,x,x,x,x,x,x,x,x,x,x
S12000027,31513,32558,x,x,x,x,x,38490,43820,x,x,x
S12000028,24131,27493,7933,12836,14789,17138,20973,28453,35990,40205,42144,x
S12000029,28538,32013,x,x,17880,20473,24603,33867,39070,42243,43722,x
S12000030,31370,33800,12022,18083,20322,21545,26326,34628,38941,41809,44092,x
S12000039,29398,34732,12850,18154,20975,22864,25275,33354,36206,38930,x,x
S12000040,30023,33006,11118,17644,20438,22056,26794,34130,38718,40394,43634,x
N92000002,26789,31410,9360,15165,17936,20104,23637,31077,36418,39980,42927,54009
