E08000032,26162,29674,x,13766,17175,19099,22768,29868,34240,36447,40272,x
E08000033,27292,30049,x,x,x,20420,23465,30695,35689,39621,x,x
E08000034,25279,28484,8388,12998,15401,18468,22277,28925,34226,36564,39335,x
E08000035,29631,34343,10790,18795,21121,23025,26123,34933,39944,43080,47166,x
E08000036,28156,30484,9288,15420,17902,20214,24331,32028,37410,39817,43366,x
E12000004,26944,30515,9502,15025,17807,20076,23651,30655,35347,38295,41955,52219
E06000015,32256,37660,9553,17219,20269,22570,27626,38480,43790,49549,53966,x
E06000016,26360,28845,10246,14403,16356,18799,22512,29847,34013,36141,39794,x
E06000061,26832,29644,9432,14286,17844,20290,24051,30446,34330,36064,40130,x
E06000018,26345,30373,8892,14274,17151,20279,23533,29732,33831,37092,41317,x
E06000017,28983,32590,x,x,20877,22490,25158,34945,x,x,x,x
E06000062,29404,34281,x,18573,20900,22886,26251,34133,39313,42780,46334,x
E10000007,26053,29075,x,14860,16954,19316,22836,29715,34502,37432,40599,x
E07000032,26342,30940,9800,15000,16946,18643,23000,31506,38184,39143,x,x
E07000033,25476,29949,x,x,x,x,x,x,x,x,x,x
E07000034,25846,29430,11620,15749,18385,19967,22907,28508,34536,35768,40557,x
E07000035,x,26631,x,x,x,x,x,x,x,x,x,x
E07000036,x,29535,x,x,x,x,x,x,x,x,x,x
E07000037,25835,29268,x,15458,18923,19853,22354,28813,33129,36767,x,x
E07000038,x,x,x,x,x,x,x,x,x,x,x,x
E07000039,26642,29435,x,15578,17902,20430,23672,31679,37067,39451,x,x
E10000018,27466,32036,9615,15619,18256,20540,24000,31501,36015,38696,42663,54037
E07000129,x,31300,x,x,x,x,x,x,x,x,x,x
E07000130,27252,33232,x,15845,17421,20051,23770,32436,36983,40836,43823,x
E07000131,27421,31252,11844,17309,19952,21215,24605,30410,34992,39327,x,x
E07000132,27409,30428,9546,13913,17047,19924,24037,31506,34853,36617,38561,x
E07000133,20280,22730,x,x,x,x,x,25310,x,x,x,x
