,Median,Mean,10,20,25,30,40,60,70,75,80,90
Code,Median,Mean,10,20,25,30,40,60,70,75,80,90
K02000001,32890,40269,11425,18560,22060,24532,28591,38000,44500,48283,52809,69381
K03000001,32972,40439,11456,18613,22112,24580,28646,38061,44629,48408,52929,69750
K04000001,32991,40715,11424,18589,22094,24563,28627,38058,44677,48479,53162,70250
E92000001,33142,41100,11439,18653,22187,24669,28769,38292,44962,48820,53630,71090
E12000001,29266,33164,10727,17213,20252,22769,26092,33006,38097,41339,45254,56226
E06000005,29692,32852,12569,18973,21491,23577,27054,33688,38209,40237,42984,x
E06000001,28204,28762,9681,14726,16618,18537,24613,30247,34513,38592,x,x
E06000002,29502,32019,12124,18288,20325,22236,26559,33146,36915,39655,44158,x
E06000003,28356,32718,9129,14255,16850,20288,24834,31663,37390,39955,45509,x
E06000004,29537,34541,11698,16976,21105,23285,25992,34826,40734,44309,48152,x
E06000047,29393,32914,10853,17581,20874,23337,26278,32476,37627,40818,43780,54516
E06000057,27769,31011,8638,14173,17462,19509,24468,31707,37534,39730,43057,x
E11000007,29568,33916,10855,17677,20891,23263,26335,33570,38710,42668,46085,57591
E08000037,28507,31955,x,17777,21006,23460,25481,31652,36134,39155,43707,x
E08000021,31786,36410,13669,19854,22843,25000,28264,35750,41017,44152,47576,57964
E08000022,29311,35098,10765,17426,19737,22017,26281,34320,41929,45880,51779,x
E08000023,25490,28998,9026,13164,16162,18832,23638,30162,33078,36938,43293,x
E08000024,28214,32085,x,16724,20209,22559,25592,31624,36173,39563,43769,x
E12000002,31489,36680,11656,18450,21418,23902,27406,36361,42468,45948,49869,63864
E06000008,30572,35929,11986,18714,21281,23427,26523,35005,41264,44391,47463,x
E06000009,27064,29042,x,14059,17338,19094,23795,30041,33613,36505,39199,x
E06000006,32465,36551,11234,18771,22576,24703,27663,36265,42580,45069,48474,x
E06000007,34719,41122,12305,20475,23545,25593,29979,40830,47647,51201,55801,x
E06000049,33200,39841,11420,18804,21651,24071,28809,38329,44659,49083,54193,x
E06000050,30636,36125,11081,17395,20211,23697,27144,35487,43290,46470,50896,65592
E06000063,34890,38796,12893,20115,22838,24938,29437,42412,47398,51593,55223,x
E06000064,32683,36702,10394,16845,21286,23622,27967,38872,46355,50129,53964,x
E11000001,31706,37543,11742,18772,21929,24106,27789,36634,42529,46151,50079,65321
E08000001,27696,30618,8678,14010,18243,20748,24326,31483,36331,40344,43615,x
E08000002,29060,34104,11704,17673,21055,22878,25153,33783,40309,42877,46637,x
E08000003,36554,43450,13789,23438,25866,27788,31700,41304,47284,51351,56261,73299
E08000004,27990,30817,9753,15622,18046,20766,24480,32539,36695,39210,44076,x
E08000005,29036,36429,11509,18127,20450,21939,25232,32198,36441,38456,41127,x
E08000006,34741,40330,14041,22190,25117,26837,30263,39911,46448,49403,53481,x
E08000007,28296,32323,10339,15789,17831,20937,24878,32636,38346,40798,44286,x
E08000008,27115,30579,11427,16069,18290,20775,24062,30012,35254,38373,42658,x
E08000009,31516,37940,10059,16302,19500,23446,26867,36483,43886,48185,52743,x
E08000010,28003,32198,10576,16775,18728,21949,24924,32585,38566,41221,46234,x
E10000017,30142,34660,11664,17774,20516,23425,26420,34258,39717,44050,47945,59390
E07000117,27128,31547,11483,17228,19449,20932,24282,30431,34583,37130,x,x
E07000118,29415,32903,10824,15398,17760,19945,25941,33276,37857,45023,46874,x
E07000119,36962,42788,x,22276,23914,25800,30060,45143,51196,55011,x,x
E07000120,27323,30950,x,15708,18597,20206,24602,30118,35308,38760,x,x
E07000121,29091,32312,11395,15959,18852,20846,25658,32505,37051,38514,41728,x
E07000122,28099,30989,x,x,20459,23766,25621,31243,34796,36053,x,x
E07000123,32655,38028,14301,20630,23955,25477,28620,37766,44107,46460,49898,x
E07000124,41474,46269,x,22500,25162,30028,34160,48857,54477,59088,62622,x
E07000125,27288,27782,x,x,16891,18724,22995,30024,32922,x,x,x
E07000126,30126,32438,x,14863,19392,22000,26197,35000,39820,42541,46272,x
E07000127,28909,32409,x,18306,19909,22817,26039,32811,37594,41420,45141,x
E07000128,27657,29055,x,15251,18408,20382,24491,29924,34803,37619,x,x
E11000002,30946,34926,11658,18140,20823,23567,26935,35699,40580,44603,47333,59495
E08000011,32181,37623,14040,21025,23926,25330,27657,38573,44159,46770,48547,x
E08000012,33648,36820,11800,19943,22748,24984,29378,37785,43407,45788,49568,62474
E08000013,28468,31703,11936,16610,18726,20178,25149,32771,35972,x,x,x
E08000014,27006,30185,9777,13817,16899,19190,23110,29824,34799,38219,43718,x
E08000015,28840,32654,11080,15645,18559,20820,24682,33336,38223,42298,45000,x
E12000003,30486,34691,11266,17795,20894,23540,26801,34802,39787,43113,47351,59954
E06000011,29355,33114,9846,16822,19157,22071,25693,32902,38414,41427,46315,x
E06000010,29790,33661,12622,17776,20608,23588,26253,33367,38491,41604,44839,x
E06000012,26631,31095,10324,14730,17084,19724,22901,30967,35556,39793,44205,x
E06000013,29973,33514,10715,17258,20480,22666,26554,33558,38184,41900,46537,x
E06000014,32151,37678,x,18228,21670,24917,28003,37407,44894,48935,55662,x
E06000065,29288,33061,10023,15841,19449,21868,26107,33661,38369,41940,45783,58631
E11000003,30503,34780,12008,18323,21421,23818,27019,34576,39112,42401,46180,57402
E08000038,29339,36738,12403,17366,19735,22795,26201,34663,38769,42108,43677,x
E08000017,28928,32792,11441,17155,19499,22276,24996,33003,36430,39094,42584,x
