England,23334.0,7465.0,11977.0,14184.0,16000.0,19640.0,27562.0,32602.0,35700.0,39450.0,51402.0,23761.0,7564.0,12187.0,14546.0,16373.0,19968.0,28047.0,33271.0,36430.0,40193.0,52746.0,24283.0,7730.0,12364.0,14769.0,16758.0,20400.0,28688.0,33990.0,37235.0,41140.0,54026.0,25169.0,8179.0,13044.0,15614.0,17663.0,21228.0,29645.0,35027.0,38357.0,42236.0,55741.0,26172.0,8628.0,13778.0,16424.0,18454.0,22152.0,30709.0,36214.0,39743.0,43683.0,57443.0,26233.0,8788.0,14201.0,16812.0,18837.0,22355.0,30500.0,35956.0,39333.0,43185.0,55823.0,28040.0,9600.0,15602.0,18313.0,20326.0,24087.0,32646.0,38266.0,41530.0,45472.0,58633.0,29828.0,10093.0,16571.0,19566.0,21825.0,25792.0,34543.0,40447.0,43773.0,48042.0,62484.0,31882.0,11026.0,18055.0,21322.0,23690.0,27656.0,36899.0,43049.0,46746.0,51201.0,66976.0,33142,11439.0,18653.0,22187.0,24669.0,28769.0,38292.0,44962.0,48820.0,53630.0,71090.0
England and Wales,23178.0,7468.0,11958.0,14135.0,15944.0,19530.0,27385.0,32429.0,35461.0,39143.0,50879.0,23609.0,7547.0,12142.0,14500.0,16313.0,19870.0,27907.0,33072.0,36181.0,39994.0,52122.0,24105.0,7696.0,12324.0,14716.0,16689.0,20288.0,28488.0,33715.0,36979.0,40811.0,53390.0,25011.0,8166.0,13015.0,15572.0,17599.0,21114.0,29477.0,34868.0,38082.0,41909.0,55114.0,26000.0,8628.0,13762.0,16379.0,18398.0,22018.0,30500.0,35986.0,39417.0,43234.0,56736.0,26067.0,8784.0,14166.0,16766.0,18774.0,22250.0,30357.0,35724.0,39063.0,42821.0,55284.0,27942.0,9597.0,15572.0,18252.0,20265.0,24000.0,32487.0,38028.0,41287.0,45151.0,58026.0,29654.0,10070.0,16510.0,19498.0,21743.0,25690.0,34359.0,40171.0,43470.0,47673.0,61729.0,31708.0,10968.0,17989.0,21226.0,23574.0,27516.0,36661.0,42777.0,46413.0,50799.0,66101.0,32991,11424.0,18589.0,22094.0,24563.0,28627.0,38058.0,44677.0,48479.0,53162.0,70250.0
Essex,21387.0,6182.0,10303.0,12100.0,14340.0,17967.0,25176.0,30205.0,33146.0,36877.0,48224.0,22255.0,6420.0,10631.0,12825.0,15113.0,18568.0,26312.0,31323.0,34252.0,38084.0,48946.0,22655.0,6193.0,10461.0,12204.0,14684.0,18694.0,26476.0,31075.0,34353.0,38407.0,48958.0,23943.0,6889.0,11001.0,12986.0,15516.0,20007.0,28332.0,33138.0,36151.0,39552.0,50273.0,24000.0,6866.0,10883.0,13065.0,15687.0,19980.0,28221.0,33160.0,36214.0,40051.0,50816.0,24408.0,7456.0,11902.0,14101.0,16404.0,20688.0,28505.0,33000.0,36075.0,39830.0,50327.0,26343.0,8435.0,12993.0,15887.0,18331.0,22456.0,30318.0,35730.0,39253.0,42929.0,54615.5,27995.0,8608.0,13327.0,15930.0,18953.0,23744.0,32514.0,37450.0,40781.0,44500.0,58904.0,30817.0,9684.0,15111.0,18550.0,21570.0,26289.0,35727.0,41011.0,44326.0,48000.0,61249.0,30898,9559.0,15360.0,18645.0,22391.0,26640.0,35812.0,41694.0,45529.0,50074.0,66286.0
Gloucestershire,22634.0,7570.0,11254.0,13633.0,15504.0,19168.0,26000.0,30509.0,33643.0,37205.0,47621.0,22791.0,7189.0,11441.0,13958.0,15544.0,18992.0,26773.0,31292.0,34525.0,37898.0,47621.0,23892.0,7242.0,11533.0,14003.0,16177.0,20169.0,27550.0,31980.0,35577.0,38126.0,49626.0,24328.0,8003.0,11850.0,14236.0,16480.0,20476.0,28332.0,33141.0,36795.0,40267.0,50000.0,24078.0,8464.0,12232.0,14989.0,17231.0,20487.0,27858.0,33082.0,36752.0,39383.0,50468.0,24571.0,8599.0,12827.0,15687.0,17897.0,21248.0,28368.0,32785.0,36331.0,40567.0,51005.0,26759.0,8999.0,14040.0,17652.0,19366.0,23006.0,31451.0,36201.0,39383.0,42061.0,54296.0,28154.0,9301.0,16286.0,19104.0,21011.0,24551.0,32535.0,38664.0,41303.0,45918.0,57587.0,30060.0,9740.0,16452.0,20244.0,22990.0,26403.0,34952.0,40000.0,43752.0,47982.0,60165.0,32019,10369.0,17671.0,21893.0,24525.0,28671.0,36222.0,42547.0,47455.0,50604.0,64836.0
Great Britain,23162.0,7500.0,11986.0,14153.0,15961.0,19524.0,27315.0,32334.0,35300.0,38904.0,50465.0,23561.0,7588.0,12183.0,14506.0,16327.0,19864.0,27817.0,32953.0,36000.0,39673.0,51667.0,24072.0,7748.0,12379.0,14747.0,16722.0,20314.0,28425.0,33600.0,36750.0,40491.0,53000.0,25000.0,8189.0,13037.0,15576.0,17600.0,21102.0,29400.0,34716.0,37920.0,41670.0,54602.0,26000.0,8628.0,13798.0,16411.0,18422.0,22032.0,30464.0,35925.0,39309.0,43023.0,56159.0,26056.0,8790.0,14203.0,16786.0,18789.0,22261.0,30360.0,35695.0,39012.0,42658.0,54961.0,27902.0,9600.0,15594.0,18253.0,20271.0,24000.0,32437.0,37971.0,41192.0,44973.0,57512.0,29640.0,10086.0,16521.0,19500.0,21756.0,25684.0,34355.0,40121.0,43318.0,47446.0,61123.0,31722.0,11014.0,18011.0,21252.0,23607.0,27539.0,36664.0,42740.0,46367.0,50606.0,65591.0,32972,11456.0,18613.0,22112.0,24580.0,28646.0,38061.0,44629.0,48408.0,52929.0,69750.0
Greater Manchester Met County,22134.0,7337.0,11891.0,13799.0,15586.0,18882.0,25553.0,30337.0,32960.0,35866.0,45888.0,22628.0,7771.0,12451.0,14680.0,16336.0,19421.0,26471.0,30948.0,33718.0,36750.0,46714.0,23172.0,7840.0,12738.0,15000.0,16681.0,19828.0,26941.0,31380.0,34564.0,37769.0,48169.0,23917.0,8478.0,13580.0,15784.0,17462.0,20448.0,27663.0,32394.0,35495.0,38880.0,48792.0,24560.0,8675.0,13601.0,15907.0,17793.0,21166.0,28465.0,33493.0,36493.0,39999.0,50732.0,24342.0,8426.0,13453.0,15792.0,17928.0,21105.0,28000.0,32840.0,35637.0,39252.0,49893.0,26412.0,9731.0,15511.0,17984.0,19760.0,22959.0,30360.0,35456.0,39101.0,42284.0,53955.0,28702.0,10288.0,16441.0,19517.0,21430.0,24962.0,32869.0,37623.0,40801.0,44915.0,56696.0,30465.0,11375.0,18646.0,21394.0,23491.0,26690.0,34525.0,39809.0,43540.0,47417.0,60818.0,31706,11742.0,18772.0,21929.0,24106.0,27789.0,36634.0,42529.0,46151.0,50079.0,65321.0
Hampshire,24556.0,8000.0,12672.0,15000.0,17107.0,20838.0,28903.0,33818.0,37087.0,40788.0,53534.0,24652.0,7360.0,12223.0,14654.0,16781.0,20653.0,28977.0,34294.0,37836.0,41163.0,52851.0,25028.0,7243.0,12000.0,14643.0,16872.0,20800.0,29470.0,34799.0,37946.0,41571.0,54000.0,25431.0,7741.0,12153.0,14863.0,17225.0,21070.0,30146.0,35891.0,39360.0,43480.0,56547.0,26434.0,8044.0,12569.0,15928.0,18297.0,22310.0,30892.0,35782.0,39252.0,43034.0,56926.0,27142.0,8880.0,14102.0,17413.0,19409.0,23425.0,31983.0,37118.0,40000.0,43695.0,54952.0,28973.0,9597.0,15600.0,18844.0,21119.0,25443.0,33397.0,38832.0,41504.0,45235.0,57769.0,30392.0,10464.0,16852.0,20164.0,22742.0,26616.0,35138.0,40835.0,44042.0,48134.0,60587.0,31943.0,10224.0,17470.0,21232.0,24140.0,27948.0,36652.0,42638.0,46551.0,50760.0,65998.0,33507,11451.0,18061.0,22444.0,25118.0,29080.0,37826.0,44285.0,48116.0,53039.0,68681.0
Hertfordshire,23605.0,6181.0,10536.0,12945.0,15079.0,19309.0,28118.0,33362.0,36524.0,40335.0,53257.0,24000.0,6001.0,10374.0,12802.0,15179.0,19658.0,29000.0,34300.0,37371.0,40454.0,54897.0,25345.0,6365.0,11610.0,14197.0,16473.0,21120.0,30262.0,35617.0,38986.0,42917.0,57086.0,25902.0,6463.0,11107.0,13794.0,16639.0,21515.0,30690.0,36324.0,39796.0,44308.0,58920.0,25968.0,6492.0,12000.0,14978.0,17614.0,21916.0,30669.0,36924.0,40398.0,45000.0,61258.0,25902.0,7115.0,11390.0,14029.0,16988.0,21534.0,30568.0,36840.0,40374.0,44344.0,56141.0,27457.0,7201.0,11731.0,14507.0,17722.0,23265.0,32501.0,38764.0,42332.0,47127.0,63060.5,28600.0,6384.0,11594.0,14159.0,17255.0,23295.0,33939.0,40449.0,44083.0,48315.0,63060.5,30000.0,6972.0,12376.0,14838.0,18363.0,24922.0,35583.0,42834.0,47280.0,52032.0,69980.0,32631,7956.0,14312.0,17722.0,21101.0,27610.0,38694.0,46992.0,50667.0,56523.0,76586.0
Inner London,35467.0,12208.0,20000.0,22972.0,25494.0,30432.0,41587.0,49199.0,54045.0,60925.0,87654.0,36450.0,12213.0,20394.0,23533.0,26114.0,31292.0,42780.0,50750.0,56267.0,64196.0,92988.0,37858.0,12624.0,21365.0,24537.0,27408.0,32389.0,44290.0,52327.0,58084.0,66309.0,95778.0,38573.0,13454.0,21932.0,24927.0,27519.0,32993.0,44855.0,54065.0,60235.0,68396.0,99410.0,40375.0,14249.0,23203.0,26192.0,29133.0,34615.0,47431.0,56426.0,62916.0,71361.0,101706.0,39048.0,13793.0,22619.0,25616.0,28402.0,33315.0,45625.0,53956.0,59827.0,67179.0,95726.0,41699.0,15554.0,24509.0,27417.0,30251.0,35786.0,48337.0,56770.0,62623.0,70819.0,101183.0,44449.0,16828.0,26498.0,29326.0,32317.0,38288.0,51730.0,61086.0,67874.0,75997.0,107755.0,46562.0,16850.0,27681.0,30934.0,34305.0,40096.0,54129.0,63613.0,70483.0,79371.0,111467.0,49854,19142.0,29951.0,32947.0,36166.0,42591.0,57913.0,69300.0,76871.0,87882.0,123862.0
Kent,21705.0,6789.0,10726.0,12886.0,14646.0,18198.0,25324.0,30176.0,32757.0,36228.0,46384.0,21995.0,7135.0,11048.0,13105.0,15074.0,18090.0,25628.0,30654.0,33484.0,36665.0,46731.0,22225.0,6950.0,11307.0,13311.0,15540.0,18951.0,26097.0,30862.0,33501.0,37399.0,47174.0,24604.0,8063.0,12745.0,15108.0,17460.0,20885.0,28586.0,33867.0,36367.0,40301.0,51419.0,24629.0,8202.0,12836.0,15386.0,17350.0,21147.0,29102.0,34652.0,37766.0,42087.0,53073.0,24767.0,8543.0,13657.0,15777.0,17761.0,21207.0,28995.0,32844.0,36106.0,40061.0,52188.0,26237.0,9513.0,15274.0,17454.0,19678.0,23062.0,30689.0,35591.0,39103.0,42763.0,53559.0,27962.0,9700.0,15586.0,18585.0,20872.0,24317.0,32429.0,37333.0,40326.0,43850.0,55379.0,30000.0,10912.0,17518.0,20628.0,22662.0,26302.0,34709.0,40246.0,43629.0,47276.0,58978.0,30721,10296.0,17017.0,20504.0,23209.0,26933.0,35035.0,41437.0,44693.0,48464.0,62546.0
